Nome Civil;Nome para Urna;Numero;Partido;Coligação;Situação;Votação;% Válidos;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Atuacao;Atuacao em meses
ULDURICO ALENCAR PINTO;ULDURICO JUNIOR;113.66;PTC;PPS / PSDC / PTC / PV / PRP / PT do B;Eleito por QP;39904;0.6;MASCULINO;Solteiro(a);Agricultor;Parda;30/01/1992;25;Superior incompleto;175000.0;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000551.jpg;42.60;0.00;280.84;0.00;14.98;2180.05;3340.00;0.00;20915.95;6716.44;1001.88;140.58;186.13;0.00;0.00;291.87;332.35;0.00;35443.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.03;0.06;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.00;0.09;0.00;0.00;0.22;0.03;0.00;0.00;0.69;Estudante Universitário;Em Exercício;PV;1/2/2015 ...;32
GIOVANI CHERINI;GIOVANI CHERINI;38.16;PDT;PDT / PSC / PV / PEN / DEM;Eleito por QP;115294;1.94;MASCULINO;Divorciado(a);Deputado;Branca;23/06/1960;57;Superior completo;3397388.28;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000237.jpg;615.80;0.00;6687.29;0.00;139.59;3082.45;0.00;0.00;4845.62;6019.90;408.38;5350.03;194.38;37.58;0.00;4138.40;3855.44;61.49;35436.34;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.06;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.06;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.12;0.00;0.00;0.00;0.56;Tecnólogo em Cooperativismo;Em Exercício;PR;1/2/2015 ...;32
CARLOS FELIPE VAZQUEZ DE SOUZA LEAO;CACÁ LEÃO;34.84;PP;PP / PDT / PT / PTB / PR / PSD / PC do B;Eleito por QP;125605;1.89;MASCULINO;Solteiro(a);Administrador;Branca;03/11/1979;38;Superior completo;759285.15;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000164.jpg;164.21;0.00;7899.95;0.00;32.19;2355.33;8403.12;0.00;1163.75;7005.04;4.69;6367.75;141.90;0.00;0.00;196.25;1322.30;374.04;35430.51;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.16;Administrador;Em Exercício;PP;1/2/2015 ...;32
HUGO MOTTA WANDERLEY DA NOBREGA;HUGO;47.56;PMDB;PMDB;Eleito por QP;123686;6.39;MASCULINO;Solteiro(a);Deputado;Branca;11/09/1989;28;Superior completo;498458.05;PB;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000173.jpg;2.16;1257.81;0.00;0.00;0.00;3332.52;6693.75;0.00;15107.81;7119.25;22.18;33.81;279.68;0.00;0.00;76.62;1489.75;0.00;35415.34;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.12;Estudante Universitário;Em Exercício;PMDB;1/2/2015 ...;32
FERNANDO STEPHAN MARRONI;FERNANDO MARRONI;168.12;PT;PT;Suplente;94275;1.59;MASCULINO;Casado(a);Engenheiro;Branca;31/07/1956;61;Superior completo;278000.0;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000327.jpg;280.96;0.00;2140.21;0.00;0.00;3633.05;0.00;0.00;14909.50;12456.95;46.69;0.00;0.00;0.00;0.00;94.85;1422.67;382.56;35367.44;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Suplência;PT;9/2/2015 até 5/10/2015;8
BENITO DA GAMA SANTOS;BENITO GAMA;43.75;PTB;PP / PDT / PT / PTB / PR / PSD / PC do B;Eleito por média;71372;1.07;MASCULINO;Casado(a);Economista;Branca;29/08/1948;69;Superior completo;553889.44;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000121.jpg;619.15;328.12;8969.94;0.00;38.22;2097.90;1795.54;90.20;7202.37;5203.79;225.70;5910.80;453.91;0.00;0.00;510.84;1848.05;65.73;35360.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;Economista,Professor(a);Em Exercício;PTB;1/2/2015 ...;32
DULCE FERREIRA PAGANI MIRANDA;DULCE MIRANDA;47.22;PMDB;PMDB / PV / PT / PSD;Eleito por QP;75934;10.36;FEMININO;Casado(a);Dona de Casa;Branca;15/12/1963;54;Superior completo;2263550.97;TO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/TO/foto/270000000019.jpg;0.00;0.00;0.00;0.00;161.27;713.57;7374.06;930.80;12778.44;7244.72;55.58;3384.60;178.29;0.00;0.00;1382.46;1156.22;0.00;35360.02;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.25;-;Em Exercício;PMDB;1/2/2015 ...;32
MARCELO BELINATI MARTINS;MARCELO BELINATI;46.67;PP;PSDB / DEM / PR / PSC / PT do B / PP / SD / PSD / PPS;Eleito por QP;137817;2.43;MASCULINO;Casado(a);Médico;Branca;22/07/1971;46;Superior completo;579676.71;PR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PR/foto/160000000159.jpg;551.15;0.00;3070.43;0.00;30.55;4099.34;866.17;0.00;6060.37;8016.05;524.37;7624.12;0.00;0.00;163.69;2304.27;1774.24;253.98;35338.73;0.50;0.00;0.00;0.00;0.21;0.00;0.00;0.00;0.92;0.04;0.08;0.00;0.00;0.33;0.00;0.79;0.92;0.62;0.00;0.08;0.29;0.00;0.29;0.00;0.00;0.00;0.00;0.33;0.08;0.17;0.00;0.92;0.04;0.08;0.17;0.21;0.00;0.08;7.17;Advogado(a),Médico(a);Vacância;PP;1/2/2015 até 1/1/2017;24
JOSE LUIZ STEDILE;JOSE STEDILE;127.50;PSB;PSB / PPS / PSD / PT do B / PHS / PSL / PSDC;Eleito por QP;60523;1.02;MASCULINO;Casado(a);Deputado;Branca;11/08/1957;60;Superior completo;339094.67;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000568.jpg;747.16;0.00;614.69;0.00;28.17;3754.17;1956.25;0.00;12806.62;7623.85;365.48;5153.64;3.75;30.40;335.16;148.64;1406.49;328.64;35303.11;0.06;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.03;0.06;0.00;0.00;0.34;Administrador Público, Metalúrgico;Em Exercício;PSB;1/2/2015 ...;32
NELSON MARQUEZELLI;NELSON MARQUEZELLI;44.81;PTB;PTB;Eleito por QP;112711;0.53;MASCULINO;Casado(a);Deputado;Branca;29/10/1941;76;Superior completo;12279100.44;SP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000002343.jpg;0.00;0.00;0.00;0.00;0.00;5225.72;294.94;0.00;20336.84;4445.97;0.00;394.48;0.00;0.00;0.00;415.23;4123.70;49.24;35286.11;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.06;0.03;0.00;0.00;0.00;0.25;Empresário;Em Exercício;PTB;1/2/2015 ...;32
FABIO CRUZ MITIDIERI;FÁBIO MITIDIERI;173.59;PSD;PT / PDT / PSB / PMDB / PC do B / PRP / PROS / PSD / PRB / PSDC;Eleito por QP;83401;7.92;MASCULINO;Casado(a);Empresário;Branca;24/02/1977;40;Superior completo;912613.63;SE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SE/foto/260000000184.jpg;329.12;0.00;8750.00;0.00;102.56;1355.66;10161.56;0.00;9010.53;2540.77;142.66;116.96;1519.49;0.00;0.00;661.87;542.07;25.97;35259.22;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.16;0.03;0.00;0.00;0.06;0.00;0.00;0.03;0.06;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.12;0.00;0.00;0.03;0.09;0.00;0.00;0.75;-;Em Exercício;PSD;1/2/2015 ...;32
