"UF";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Situação";"Votação";"% Válidos";
"";"";"1123";"JOSÉ RIBAMAR COSTA";"PP";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"2.354";"0,59"
"";"";"2580";"JOSÉ AUGUSTO LEANDRO RODRIGUES";"DEM";"DEM / PV / PMN";"Não eleito";"2.011";"0,50"
"";"";"9090";"RAMAO VIEIRA DE OLIVEIRA";"PROS";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"1.994";"0,50"
"";"";"1321";"ROSELI COSTA";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"1.913";"0,48"
"";"";"4343";"SHIRLEY TORRES DE ARAÚJO";"PV";"DEM / PV / PMN";"Não eleito";"1.377";"0,34"
"";"";"4325";"MARIA JOICILENE SOUZA SILVA NOBRE";"PV";"DEM / PV / PMN";"Não eleito";"1.199";"0,30"
"";"";"7070";"FRANCISCO CARLOS OLIVEIRA DA CRUZ";"PT do B";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"1.154";"0,29"
"";"";"2555";"SEBASTIÃO ALVES RODRIGUES MANCHINERY";"DEM";"DEM / PV / PMN";"Não eleito";"1.135";"0,28"
"";"";"1310";"MARCELO FEITOSA DE ARAÚJO";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"1.025";"0,26"
"";"";"2500";"JOAQUIM LIRA DE CARVALHO";"DEM";"DEM / PV / PMN";"Não eleito";"962";"0,24"
"";"";"5524";"RUY MEDEIROS DE ARAÚJO BIRICO";"PSD";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"956";"0,24"
"";"";"4510";"FRANCISCO NAZARENO DA SILVA";"PSDB";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"924";"0,23"
"";"";"4399";"HILÁRIO JOSÉ DO NASCIMENTO";"PV";"DEM / PV / PMN";"Não eleito";"838";"0,21"
"";"";"3333";"VALDETE DE SOUZA";"PMN";"DEM / PV / PMN";"Não eleito";"668";"0,17"
"";"";"4321";"FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO";"PV";"DEM / PV / PMN";"Não eleito";"665";"0,17"
"";"";"2533";"MARIA SOCORRO SOARES DE OLIVEIRA";"DEM";"DEM / PV / PMN";"Não eleito";"663";"0,17"
"";"";"2577";"SAULO DE FREITAS RIBEIRO";"DEM";"DEM / PV / PMN";"Não eleito";"525";"0,13"
"";"";"1919";"JUAREZ PEDROSA CAVALCANTE";"PTN";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"515";"0,13"
"";"";"5051";"GERALDO SILVA DOS SANTOS";"PSOL";"PSOL";"Não eleito";"383";"0,10"
"";"";"7088";"MIRACY BEZERRA DOS SANTOS";"PT do B";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"345";"0,09"
"";"";"5432";"KENNY ROBERT FONSECA VASCONCELOS";"PPL";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"254";"0,06"
"";"";"5500";"MARIA NAZARE PEREIRA LIMA DE CARVALHO";"PSD";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"245";"0,06"
"";"";"5431";"MARIO SERGIO MOURA DA SILVA";"PPL";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"237";"0,06"
"";"";"4554";"LUIZETE SILVA E SILVA";"PSDB";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"227";"0,06"
"";"";"1101";"CLAUDENOR MAGALHÃES SANTANA DE SOUZA";"PP";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"206";"0,05"
"";"";"5555";"JOSE AUGUSTO BATISTA DE AGUIAR";"PSD";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"205";"0,05"
"";"";"1112";"JOSÉ EDMAR RONIVON SANTIAGO DE MELO";"PP";"PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD";"Suplente";"186";"0,05"
"";"";"2515";"MARIA TERESA GAUNA";"DEM";"DEM / PV / PMN";"Não eleito";"145";"0,04"
"";"";"1311";"LENILDA DE SOUSA QUEIROZ";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"139";"0,03"
"";"";"1365";"AURINETE DE OLIVEIRA SILVA";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"135";"0,03"
"";"";"1377";"FRANCISCA CILENE RODRIGUES LOPES";"PT";"PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B";"Suplente";"103";"0,03"
"";"";"5050";"EMERSON DA SILVA SANTOS";"PSOL";"PSOL";"Não eleito";"37";"0,01"
