Nome Civil;Nome para Urna;Numero;Partido;Coligação;Situação;Votação;% Válidos;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Atuacao;Atuacao em meses
VICENTE ALVES DE OLIVEIRA JUNIOR;VICENTINHO JUNIOR;4040;PSB;PRB / PP / PDT / PTB / PSL / PSC / PR / PPS / DEM / PRTB / PHS / PTC / PSB / PRP / PSDB / PEN / SD;Eleito por QP;51069;6.96;MASCULINO;Solteiro(a);Empresário;Branca;11/04/1985;32;Ensino Médio completo;2476968.31;TO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/TO/foto/270000000292.jpg;1703.87;72250.0;0.0;0.0;0.0;156816.89;549500.0;0.0;98720.0;35404.87;7849.2;116656.37;32098.94;308.0;0.0;5847.91;59029.19;0.0;1136185.24;0;1;0;0;0;0;0;0;0;1;2;0;0;1;0;1;4;1;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;0;19;Empresário;Em Exercício;PR;1/2/2015 ...;32
JOSE CARLOS ALELUIA COSTA;ALELUIA;2555;DEM;DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC;Eleito por QP;101924;1.53;MASCULINO;Casado(a);Outros;Parda;09/12/1947;70;Superior completo;5250473.16;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000630.jpg;35594.39;4000.0;252100.0;0.0;0.0;131868.12;202500.0;0.0;233326.89;181131.8;9386.24;0.0;994.66;0.0;0.0;3087.27;81146.92;706.44;1135842.73;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;1;0;0;8;Professor Universitário e Engenheiro Elétrico;Em Exercício;DEM;1/2/2015 ...;32
WELINGTON COIMBRA;LELO COIMBRA;1515;PMDB;PMDB / DEM / PSDB / SD / PROS;Eleito por QP;94759;5.28;MASCULINO;Casado(a);Médico;Branca;21/06/1954;63;Superior completo;277300.64;ES;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/ES/foto/80000000461.jpg;386.4;0.0;276000.0;0.0;0.0;109319.1;17400.0;0.0;344135.8;221452.0;0.0;66328.41;4830.05;0.0;0.0;28814.27;66457.13;200.0;1135323.16;1;1;0;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;12;MÉDICO;Em Exercício;PMDB;1/2/2015 ...;32
ULDURICO ALENCAR PINTO;ULDURICO JUNIOR;3637;PTC;PPS / PSDC / PTC / PV / PRP / PT do B;Eleito por QP;39904;0.6;MASCULINO;Solteiro(a);Agricultor;Parda;30/01/1992;25;Superior incompleto;175000.0;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000551.jpg;1363.13;0.0;8987.0;0.0;479.4;69761.75;106880.0;0.0;669310.5;214926.2;32060.09;4498.67;5956.24;0.0;0.0;9339.89;10635.31;0.0;1134198.18;0;0;0;0;0;0;0;0;0;0;2;0;1;2;0;0;0;1;0;0;0;0;1;0;0;0;0;2;0;2;0;3;0;0;7;1;0;0;22;Estudante Universitário;Em Exercício;PV;1/2/2015 ...;32
GIOVANI CHERINI;GIOVANI CHERINI;1221;PDT;PDT / PSC / PV / PEN / DEM;Eleito por QP;115294;1.94;MASCULINO;Divorciado(a);Deputado;Branca;23/06/1960;57;Superior completo;3397388.28;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000237.jpg;19705.47;0.0;213993.22;0.0;4466.82;98638.31;0.0;0.0;155059.8;192636.82;13068.2;171201.02;6220.29;1202.45;0.0;132428.7;123374.04;1967.77;1133962.91;0;0;2;0;0;0;0;0;3;0;2;0;0;0;0;1;1;0;0;2;1;0;0;0;0;0;0;0;0;1;0;1;0;0;4;0;0;0;18;Tecnólogo em Cooperativismo;Em Exercício;PR;1/2/2015 ...;32
CARLOS FELIPE VAZQUEZ DE SOUZA LEAO;CACÁ LEÃO;1115;PP;PP / PDT / PT / PTB / PR / PSD / PC do B;Eleito por QP;125605;1.89;MASCULINO;Solteiro(a);Administrador;Branca;03/11/1979;38;Superior completo;759285.15;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000164.jpg;5254.81;0.0;252798.38;0.0;1030.0;75370.44;268900.0;0.0;37240.0;224161.23;150.15;203768.16;4540.66;0.0;0.0;6279.95;42313.5;11969.14;1133776.42;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5;Administrador;Em Exercício;PP;1/2/2015 ...;32
HUGO MOTTA WANDERLEY DA NOBREGA;HUGO;1522;PMDB;PMDB;Eleito por QP;123686;6.39;MASCULINO;Solteiro(a);Deputado;Branca;11/09/1989;28;Superior completo;498458.05;PB;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000173.jpg;69.0;40250.0;0.0;0.0;0.0;106640.6;214200.0;0.0;483450.0;227816.08;709.7;1081.98;8949.76;0.0;0.0;2452.0;47671.85;0.0;1133290.97;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;4;Estudante Universitário;Em Exercício;PMDB;1/2/2015 ...;32
BENITO DA GAMA SANTOS;BENITO GAMA;1400;PTB;PP / PDT / PT / PTB / PR / PSD / PC do B;Eleito por média;71372;1.07;MASCULINO;Casado(a);Economista;Branca;29/08/1948;69;Superior completo;553889.44;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000121.jpg;19812.88;10500.0;287038.18;0.0;1223.0;67132.65;57457.2;2886.44;230475.9;166521.25;7222.27;189145.48;14525.02;0.0;0.0;16347.03;59137.7;2103.38;1131528.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Economista,Professor(a);Em Exercício;PTB;1/2/2015 ...;32
DULCE FERREIRA PAGANI MIRANDA;DULCE MIRANDA;1511;PMDB;PMDB / PV / PT / PSD;Eleito por QP;75934;10.36;FEMININO;Casado(a);Dona de Casa;Branca;15/12/1963;54;Superior completo;2263550.97;TO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/TO/foto/270000000019.jpg;0.0;0.0;0.0;0.0;5160.74;22834.17;235970.0;29785.62;408910.0;231831.18;1778.67;108307.15;5705.39;0.0;0.0;44238.62;36999.08;0.0;1131520.62;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;8;-;Em Exercício;PMDB;1/2/2015 ...;32
JOSE LUIZ STEDILE;JOSE STEDILE;4080;PSB;PSB / PPS / PSD / PT do B / PHS / PSL / PSDC;Eleito por QP;60523;1.02;MASCULINO;Casado(a);Deputado;Branca;11/08/1957;60;Superior completo;339094.67;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000568.jpg;23909.23;0.0;19670.0;0.0;901.33;120133.37;62600.0;0.0;409812.0;243963.2;11695.31;164916.55;120.0;972.7;10724.98;4756.35;45007.72;10516.64;1129699.38;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;0;11;Administrador Público, Metalúrgico;Em Exercício;PSB;1/2/2015 ...;32
