Nome Civil;Partido;Coligação;Situação;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Nome para Urna;Numero;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Atuacao;Atuacao em meses
JOSE ALBERTO OLIVEIRA VELOSO FILHO;PMDB;PMDB / DEM / PTB / PV / PRB / PR;Suplente;67885;2.17;0.00;0.00;223184.55;0.00;3937.20;47816.88;287455.97;0.00;614700.00;399434.18;0.00;755.00;0.00;0.00;314666.67;3026.98;38519.93;0.00;1933497.37;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;Bacharel em Direito;Em Exercício;PMDB;ALBERTO FILHO;2536.67;MASCULINO;Solteiro(a);Deputado;Preta;10/02/1987;30;Superior completo;523000.0;MA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MA/foto/100000000563.jpg;3/8/2017 ...;0.6
NORMA AYUB ALVES;DEM;PMDB / DEM / PSDB / SD / PROS;Suplente;64969;3.62;0.00;0.00;47866.42;0.00;1231.30;9833.87;0.00;0.00;0.00;45697.03;626.17;61979.32;4426.92;0.00;0.00;3735.65;4266.47;333.33;179996.47;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;DEM;NORMA AYUB;4166.67;FEMININO;Solteiro(a);Servidor Público Estadual;Branca;07/09/1959;58;Superior completo;1649034.34;ES;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/ES/foto/80000000471.jpg;3/8/2017 ...;0.6
CAJAR ONESIMO RIBEIRO NARDES;PR;PTB / PC do B / PR / PPL / PROS / PTC;Suplente;55434;0.93;3137.97;0.00;7832.33;0.00;0.00;7563.04;12325.68;0.00;17719.47;12401.35;2495.98;6985.40;149.88;63.32;0.00;1003.53;1478.23;1252.67;74408.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PR;CAJAR NARDES;289.70;MASCULINO;Solteiro(a);Veterinário;Branca;16/11/1965;52;Superior completo;415287.37;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000887.jpg;17/5/2016 até 2/1/2017;7.67
ADEMIR CAMILO PRATES RODRIGUES;PROS;PT / PMDB / PC do B / PROS / PRB;Suplente;56305;0.56;918.37;30.67;12146.48;0.00;0.00;5213.55;2085.89;0.00;21743.87;14274.80;261.66;1538.71;872.45;1344.45;124.85;372.87;4302.51;78.05;65309.18;0.00;0.06;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.37;Médico, Advogado;Em Exercício;PODE;ADEMIR CAMILO;552.76;MASCULINO;Casado(a);Deputado;Parda;30/05/1964;53;Superior completo;1721398.34;MG;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MG/foto/130000000833.jpg;19/4/2016 ...;16.3
ROBERTO SERGIO RIBEIRO COUTINHO TEIXEIRA;PP;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Suplente;16181;0.36;0.00;0.00;0.00;0.00;0.00;6510.64;0.00;0.00;40425.53;8191.72;0.00;0.00;1405.70;0.00;0.00;0.00;1952.51;0.00;58486.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Odontólogo;Em Exercício;PP;ROBERTO TEIXEIRA;2387.23;MASCULINO;Casado(a);Deputado;Parda;02/10/1961;56;Superior completo;952460.04;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000059.jpg;17/5/2016 até 31/5/2016;0.47
AUGUSTO RODRIGUES COUTINHO DE MELO;SD;PSB / PMDB / PC do B / PV / PR / PSD / PPS / PSDB / SD / PPL / DEM / PROS / PP / PEN / PTC;Suplente;67918;1.51;823.45;0.00;8137.52;0.00;113.49;4826.59;774.86;0.00;10756.67;8417.24;703.51;12904.57;468.93;0.00;0.00;1836.87;2252.58;11.75;52028.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.09;0.04;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.00;0.47;Engenheiro Civil;Em Exercício;SD;AUGUSTO COUTINHO;334.78;MASCULINO;Casado(a);Deputado;Parda;22/10/1962;55;Superior completo;1505637.8;PE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PE/foto/170000000042.jpg;4/2/2015 até 1/1/2017;23.23
DAVI ALVES SILVA JUNIOR;PR;PMDB / DEM / PTB / PV / PRB / PR;Suplente;63706;2.04;0.00;0.00;8038.93;0.00;0.00;451.55;21271.59;0.00;10204.08;4771.73;0.00;2489.86;0.00;0.00;0.00;329.79;548.35;0.00;48105.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PR;DAVI ALVES SILVA JÚNIOR;347.10;MASCULINO;Casado(a);Servidor Público Federal;Branca;22/11/1976;41;Ensino Médio completo;135.0;MA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MA/foto/100000000586.jpg;18/5/2016 até 25/11/2016;6.37
LUCIANO FRED BRAGA PENHA;DEM;DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC;Suplente;61899;0.93;1160.87;0.00;6692.31;0.00;0.00;5133.03;10834.15;0.00;11846.15;8005.26;438.18;360.92;1258.98;0.00;0.00;105.41;454.21;355.20;46644.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PRB;LUCIANO BRAGA;389.69;MASCULINO;Casado(a);Outros;Branca;31/08/1967;50;Superior incompleto;993938.78;BA;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000634.jpg;7/2/2017 ...;6.5
SEBASTIAO SIBA MACHADO OLIVEIRA;PT;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por QP;18395;4.61;34.99;2475.94;8032.22;0.00;97.22;5036.92;320.86;0.00;7432.10;11352.85;295.16;6917.99;184.98;0.00;0.00;72.44;3188.98;36.76;45479.42;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;Geográfo;Em Exercício;PT;SIBÁ MACHADO;70.21;MASCULINO;Casado(a);Deputado;Parda;24/01/1958;59;Superior completo;215026.8;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000171.jpg;1/2/2015 até 15/8/2016;18.7
ANTONIO BALHMANN CARDOSO NUNES FILHO;PROS;PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS;Eleito por QP;87666;2.01;114.77;1564.52;661.29;0.00;0.00;2117.13;21774.19;0.00;4838.71;11048.83;0.00;70.97;224.14;0.00;0.00;1551.59;1103.22;0.00;45069.35;0.00;0.00;0.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.32;Engenheiro Mecânico;Licenciado;PDT;BALMAN;1451.61;MASCULINO;Casado(a);Engenheiro;Branca;22/08/1949;68;Superior completo;509778.17;CE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000774.jpg;1/2/2015 até 6/8/2015;6.2
JOHNATHAN PEREIRA DE JESUS;PRB;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;20677;8.68;0.00;0.00;9913.10;0.00;0.00;4683.99;8625.68;0.00;14332.15;5369.08;221.58;13.41;0.00;0.00;0.00;281.00;635.07;0.00;44075.07;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.10;Empresário;Em Exercício;PRB;JOHNATHAN DE JESUS;32.54;MASCULINO;Solteiro(a);Deputado;Parda;03/09/1983;34;Superior completo;629320.63;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000264.jpg;1/2/2015 ...;31.07
MANOEL ALVES DA SILVA JUNIOR;PMDB;PMDB;Eleito por média;105693;5.46;29.68;0.00;2258.81;0.00;0.00;5395.02;2832.70;0.00;15219.29;10267.47;0.00;3024.54;367.66;0.00;7.29;857.40;3451.88;0.00;43711.74;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.09;0.00;0.00;0.04;0.04;0.00;0.00;0.09;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.04;0.00;0.00;0.04;0.00;0.00;0.51;Médico;Vacância;PMDB;MANOEL JUNIOR;64.94;MASCULINO;Casado(a);Deputado;Branca;21/02/1964;53;Superior completo;1528793.86;PB;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000175.jpg;1/2/2015 até 1/1/2017;23.33
EDIO VIEIRA LOPES;PMDB;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;15290;6.42;20.88;1951.24;7878.04;177.02;0.00;4044.41;683.20;0.00;8357.58;14106.84;300.06;4553.06;598.35;0.00;0.00;96.11;851.35;10.54;43628.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.13;Servidor Público;Em Exercício;PMDB;EDIO LOPES;48.76;MASCULINO;Casado(a);Deputado;Preta;04/01/1952;65;Ensino Médio completo;397738.28;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000261.jpg;1/2/2015 ...;31.07
CELSO ALENCAR RAMOS JACOB;PMDB;PMDB / PP / PSC / PSD / PTB;Suplente;36614;0.48;976.07;0.00;4042.45;0.00;0.00;3495.47;225.94;0.00;18826.53;7915.44;34.48;4834.65;0.00;0.00;0.00;416.50;919.18;893.83;42580.54;0.00;0.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.05;0.14;0.00;0.00;0.00;0.00;0.05;0.23;0.00;0.00;0.00;0.00;0.00;0.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.00;0.05;0.99;-;Suplência;PMDB;CELSO JACOB;68.14;MASCULINO;Solteiro(a);Economista;Parda;19/01/1957;60;Superior completo;1022052.48;RJ;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RJ/foto/190000001433.jpg;10/2/2015 até 12/2/2015, 12/2/2015 até 24/2/2015, 9/3/2015 até 10/6/2015, 11/6/2015 até 14/4/2016, 22/4/2016 até 13/7/2016, 18/7/2016 até 1/1/2017;22.13
VINICIUS DE AZEVEDO GURGEL;PR;PR / PRB / PHS / PROS / PSDC / PEN / PV / PT do B;Eleito por QP;18661;4.83;0.00;0.00;6717.82;0.00;0.00;4593.33;3057.61;0.00;3282.91;7429.94;0.00;17189.57;23.38;0.00;0.00;61.99;222.60;0.00;42579.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;Contador;Em Exercício;PR;VINÍCIUS GURGEL;71.52;MASCULINO;Casado(a);Deputado;Branca;31/07/1978;39;Superior completo;813329.17;AP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AP/foto/30000000338.jpg;1/2/2015 ...;31.07
ALAN RICK MIRANDA;PRB;PT / PEN / PROS / PDT / PTB / PSL / PTN / PSDC / PHS / PSB / PRP / PPL / PRB / PC do B;Eleito por média;17903;4.48;425.56;160.93;4230.09;0.00;57.93;4401.15;3331.03;0.00;19445.45;6486.67;344.15;2194.93;132.61;0.00;0.00;325.87;898.52;5.34;42440.23;0.00;0.03;0.00;0.00;0.00;0.03;0.03;0.00;0.06;0.03;0.00;0.00;0.00;0.00;0.06;0.00;0.00;0.13;0.13;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.10;0.06;0.00;0.00;0.06;0.00;0.06;0.93;Administrador de Empresas,Jornalista;Em Exercício;DEM;ALAN RICK;32.57;MASCULINO;Casado(a);Jornalista e Redator;Branca;23/10/1976;41;Superior completo;355000.0;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000173.jpg;1/2/2015 ...;31.07
NILTON BALBINO;PTB;PMDB / PRTB / PC do B / PDT / PRP / PSB / PTB / PSL / PTN;Eleito por QP;42353;5.3;0.00;0.00;9301.58;0.00;0.00;2704.32;0.00;0.00;18413.04;8500.10;0.00;685.83;319.47;0.00;0.00;311.13;2127.20;0.00;42362.66;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;Empresário;Em Exercício;PTB;NILTON CAPIXABA;45.25;MASCULINO;Casado(a);Deputado;Branca;09/02/1960;57;Superior completo;159852.07;RO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RO/foto/220000000247.jpg;1/2/2015 ...;31.07
JOSE ARNON CRUZ BEZERRA DE MENEZES;PTB;PRB / PP / PDT / PT / PTB / PSL / PHS / PSD / PC do B / SD / PROS;Eleito por média;84474;1.93;8.04;3600.51;10605.54;0.00;0.00;4645.95;1757.39;0.00;9736.82;8540.71;113.20;58.84;423.45;0.00;0.00;883.93;1897.65;14.36;42286.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Médico;Em Exercício;PTB;ARNON BEZERRA;62.19;MASCULINO;Casado(a);Deputado;Branca;13/08/1951;66;Superior completo;1242000.0;CE;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/CE/foto/60000000790.jpg;1/2/2015 até 1/1/2017;23.33
HIRAN MANUEL GONCALVES DA SILVA;PMN;PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS;Eleito por QP;9048;3.8;195.76;0.00;6384.29;0.00;0.00;2954.52;2919.21;0.00;13340.86;5739.93;273.73;4797.14;235.76;0.00;2726.10;1336.23;1235.71;23.30;42162.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.16;Médico Legista,Médico(a);Em Exercício;PP;DR. HIRAN GONÇALVES;107.27;MASCULINO;Divorciado(a);Médico;Parda;19/06/1957;60;Superior completo;765556.66;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000181.jpg;1/2/2015 ...;31.07
AUDIVAL AMELIO DA SILVA NETO;PRTB;PRTB / PPL / PMN;Suplente;58095;4.2;744.91;0.00;6840.00;0.00;0.00;2785.28;6500.00;0.00;19465.08;4044.29;125.17;0.00;594.39;0.00;0.00;62.63;691.58;0.00;41853.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Suplência;PRTB;VAL AMÉLIO;722.00;MASCULINO;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Branca;11/12/1993;24;Superior incompleto;530000.0;AL;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AL/foto/20000000044.jpg;25/5/2016 até 22/9/2016;4.0
JOSE LUIZ DE FRANCA PENNA;PV;PV;Suplente;52437;0.25;12.64;0.00;564.60;0.00;0.00;915.68;8357.31;0.00;16064.75;6691.97;0.00;7687.08;0.00;0.00;0.00;864.99;498.57;23.69;41681.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.24;Ator, Cantor, Compositor, Músico;Suplência;PV;PENNA;1041.49;MASCULINO;Casado(a);Músico;Branca;27/12/1945;72;Ensino Médio completo;170404.02;SP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000941.jpg;21/5/2015 até 23/9/2015;4.17
ABEL SALVADOR MESQUITA JUNIOR;PDT;PT / PDT / PV / PTC / PC do B;Eleito por QP;8834;3.71;7.55;0.00;5424.43;305.76;0.00;3236.27;9237.21;0.00;10138.40;6503.73;0.00;72.79;62.02;0.00;5751.53;34.76;893.44;0.70;41668.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Empresário;Em Exercício;DEM;ABEL GALINHA;39.72;MASCULINO;Casado(a);Empresário;Branca;29/03/1962;55;Superior incompleto;1907500.0;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000452.jpg;1/2/2015 ...;31.07
REMIDIO MONAI MONTESSI;PR;PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN;Eleito por QP;15492;6.51;0.00;0.00;9333.76;0.00;75.77;5255.81;533.25;0.00;9781.49;6991.33;112.36;420.44;0.00;0.00;7627.94;80.79;1438.79;0.00;41651.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PR;REMIDIO DA AMATUR;71.87;MASCULINO;Divorciado(a);Deputado;Branca;07/08/1966;51;Ensino Médio completo;1640211.82;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000268.jpg;1/2/2015 ...;31.07
JESSICA ROJAS SALES;PMDB;PP / PMDB / PSC / PR / PPS / PTC / PSDB / PSD / PT do B / SD;Eleito por QP;20339;5.09;253.21;2317.35;332.00;379.79;0.00;4829.62;0.00;0.00;22488.74;9060.18;72.88;19.92;260.89;0.71;0.00;346.08;748.70;356.26;41466.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Em Exercício;PMDB;JÉSSICA SALES;48.76;FEMININO;Solteiro(a);Médico;Branca;28/11/1980;37;Superior completo;150000.0;AC;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AC/foto/10000000761.jpg;1/2/2015 ...;31.07
CARLOS AUGUSTO ANDRADE SILVA;PHS;PRTB / PHS / PPL / PMN / PEN / PSDC / PT do B / PSC / PSL / PPS;Eleito por média;6733;2.83;74.46;0.00;6429.60;0.00;0.00;3794.89;1364.66;0.00;13652.33;8501.15;396.47;5103.54;171.18;0.00;0.00;22.79;1876.14;7.50;41394.72;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;Administrador,Eletricitário;Em Exercício;PHS;CARLOS ANDRADE;100.77;MASCULINO;Casado(a);Servidor Público Federal;Parda;26/09/1964;53;Superior completo;1030407.95;RR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RR/foto/230000000167.jpg;1/2/2015 ...;31.07
FLAVIO RODRIGUES NOGUEIRA;PDT;PMDB / PTN / PTC / PDT / PSB / PSD / PRB / DEM / PSDC / PT do B / PC do B / PPS / PSDB;Suplente;88765;5.12;0.00;0.00;7181.00;0.00;0.00;4703.12;9049.77;0.00;4747.05;6914.47;30.02;1215.98;635.98;0.00;5718.95;243.80;935.24;0.00;41375.38;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-;Suplência;PDT;FLAVIO NOGUEIRA;182.81;MASCULINO;Casado(a);Médico;Branca;27/02/1953;64;Superior completo;2183564.26;PI;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PI/foto/180000000056.jpg;6/10/2015 até 17/2/2016, 18/2/2016 até 14/4/2016, 19/4/2016 até 28/4/2016;6.63
LUIZ CARLOS GHIORZZI BUSATO;PTB;PTB / PC do B / PR / PPL / PROS / PTC;Eleito por QP;130807;2.2;16.81;0.00;1521.90;0.00;0.00;2253.59;2708.61;0.00;9596.27;16709.55;375.75;6087.00;315.40;0.00;0.00;125.70;1463.98;19.49;41194.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;ARQUITETO, CORRETOR DE IMÓVEIS;Em Exercício;PTB;BUSATO;60.61;MASCULINO;Casado(a);Arquiteto;Branca;06/11/1948;69;Superior completo;2102671.97;RS;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000891.jpg;1/2/2015 até 1/1/2017;23.33
