Nome Civil;Partido;Coligação;Situação;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Profissao;Situacao na Legislatura Atual;Partido Atual;Nome para Urna;Numero;Sexo;Estado Civil;Ocupacao;Cor/Raça;Data Nasc.;Idade;Instrucao;Bens;UF;foto;Atuacao;Atuacao em meses
EVANDRO HERRERA BERTONE GUSSI;PV;PV;Eleito por QP;109591;0.52;657.39;0.00;5013.41;0.00;9.67;4346.00;4392.88;0.00;698.10;11059.23;761.59;2406.62;99.58;19.30;87.51;2024.72;1652.01;113.53;33341.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;Advogado(a),Professor Universitário;Em Exercício;PV;EVANDRO GUSSI;139.56;MASCULINO;Casado(a);Advogado;Branca;11/09/1980;37;Superior completo;1482246.17;SP;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000926.jpg;1/2/2015 ...;31.07
BENEDITA SOUZA DA SILVA SAMPAIO;PT;PT / PSB / PC do B;Eleito por média;48163;0.63;101.51;0.00;0.00;0.00;0.00;2581.31;54.01;0.00;10807.94;8110.49;209.23;9453.97;0.00;0.00;0.00;295.99;1577.44;138.13;33330.03;0.00;0.04;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.22;Assistente Social, Auxiliar de Enfermagem, Professor, Servidor Público;Em Exercício;PT;BENEDITA DA SILVA;50.94;FEMININO;Casado(a);Assistente Social;Preta;26/04/1942;75;Superior completo;911594.33;RJ;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RJ/foto/190000000624.jpg;1/2/2015 até 18/5/2016, 16/9/2016 ...;27.03
MARIA DO SOCORRO JO MORAES;PC do B;PT / PMDB / PC do B / PROS / PRB;Eleito por média;67650;0.67;13.01;0.00;3934.12;0.00;21.05;4073.42;104.28;80.56;2787.75;11971.10;283.52;4881.79;289.15;16.04;152.85;1372.38;2075.05;1245.62;33301.69;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.19;FUNCIONÁRIA PÚBLICA;Em Exercício;PCdoB;JÔ MORAES;211.30;FEMININO;Divorciado(a);Servidor Público Federal;Parda;09/08/1946;71;Superior incompleto;125143.21;MG;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MG/foto/130000000882.jpg;1/2/2015 ...;31.07
PAUDERNEY TOMAZ AVELINO;DEM;PROS / DEM / PSDB / PR / PTN / PSC / PT do B / PTC / PRTB / PEN / PV / PHS / PSL / PSD / SD;Eleito por QP;103904;6.27;44.60;1013.84;5200.22;0.00;0.00;2288.34;2767.94;0.00;7919.21;10426.72;191.90;66.61;0.00;0.00;48.17;1169.85;2139.36;5.99;33282.75;0.00;0.06;0.00;0.00;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.03;0.00;0.00;0.00;0.00;0.29;Engenheiro Civil, Professor;Em Exercício;DEM;PAUDERNEY;81.27;MASCULINO;Casado(a);Deputado;Parda;24/09/1954;63;Superior completo;1805198.68;AM;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/AM/foto/40000000345.jpg;1/2/2015 ...;31.07
MISAEL ARTUR FERREIRA VARELLA;DEM;DEM / PSDB / PP / PR / PSD / SD;Eleito por QP;258363;2.55;292.61;0.00;0.00;0.00;0.00;3077.55;5503.22;0.00;8388.16;4178.25;0.00;10794.32;116.25;0.00;0.00;572.37;347.01;0.75;33270.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Empresário;Em Exercício;DEM;MISAEL VARELLA;80.62;MASCULINO;Casado(a);Empresário;Branca;27/11/1959;58;Superior completo;18746099.7;MG;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MG/foto/130000000707.jpg;1/2/2015 ...;31.07
ALESSANDRO LUCCIOLA MOLON;PT;PT / PSB / PC do B;Eleito por QP;87003;1.13;0.00;0.00;0.00;0.00;513.64;806.30;15.45;0.00;799.66;13697.12;94.29;12438.68;236.30;0.00;3.25;364.88;2905.05;1391.58;33266.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.03;Advogado, Professor Universitário;Em Exercício;REDE;ALESSANDRO MOLON;42.26;MASCULINO;Casado(a);Advogado;Branca;28/10/1971;46;Superior completo;26012.85;RJ;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RJ/foto/190000000614.jpg;1/2/2015 ...;31.07
HEULER ABREU CRUVINEL;PSD;PSDB / PP / PR / PSD / PTB / PDT / PPS / PROS / PRB;Eleito por QP;90877;3.0;134.87;0.00;2534.22;0.00;0.00;2963.95;8512.25;0.00;14207.18;61.28;0.00;3003.91;0.00;0.00;0.00;410.85;1425.93;2.83;33257.27;0.00;0.04;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.04;0.04;0.04;0.00;0.00;0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.00;0.00;0.04;0.00;0.00;0.44;-;Em Exercício;PSD;HEULER CRUVINEL;203.48;MASCULINO;Solteiro(a);Deputado;Branca;06/02/1978;39;Superior completo;3400619.16;GO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/GO/foto/90000000723.jpg;1/2/2015 até 14/7/2016, 12/11/2016 ...;27.03
MARCOS ABRAO RORIZ SOARES DE CARVALHO;PPS;PSDB / PP / PR / PSD / PTB / PDT / PPS / PROS / PRB;Eleito por QP;92347;3.04;650.03;283.23;4593.80;0.00;6.76;4214.37;7452.95;0.00;12519.38;1578.38;138.50;150.90;179.26;0.00;0.00;631.56;849.30;4.51;33252.95;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.03;0.03;0.03;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.32;Economista,Empresário na Área Pecuarista;Em Exercício;PPS;MARCOS ABRÃO;75.47;MASCULINO;Casado(a);Economista;Branca;15/02/1971;46;Superior completo;1541624.32;GO;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/GO/foto/90000000711.jpg;1/2/2015 ...;31.07
PAULO EDUARDO LIMA MARTINS;PSC;PSDB / DEM / PR / PSC / PT do B / PP / SD / PSD / PPS;Suplente;63970;1.13;175.20;0.00;3750.00;0.00;0.00;1425.99;14736.11;0.00;4431.94;7945.43;0.00;129.03;261.98;0.00;0.00;112.61;281.32;0.00;33249.62;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.14;0.00;0.00;0.28;-;Suplência;PSDB;PAULO MARTINS;280.56;MASCULINO;Casado(a);Empresário;Branca;20/04/1981;36;Superior completo;2000.0;PR;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PR/foto/160000000173.jpg;17/3/2016 até 19/10/2016;7.2
GEORGE HILTON DOS SANTOS CECILIO;PRB;PT / PMDB / PC do B / PROS / PRB;Eleito por QP;146792;1.45;84.80;0.00;2681.63;0.00;0.00;2088.99;0.00;0.00;15602.19;8303.12;111.50;3108.47;0.00;45.54;0.00;195.84;1000.72;11.16;33233.95;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Radialista, Apresentador de Televisão, Teólogo e Animador;Em Exercício;PRB;GEORGE HILTON;59.66;MASCULINO;Casado(a);Deputado;Parda;11/06/1971;46;Superior completo;669325.0;MG;http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/MG/foto/130000000857.jpg;1/2/2015 até 2/2/2015, 1/4/2016 ...;16.93
