;Votação;% Válidos;Alimentação do parlamentar;Aluguel de aeronaves;Aluguel de carros;Aluguel de embarcações;Assinatura de publicações;Combustíveis e lubrificantes;Consultorias, pesquisas e trabalhos técnicos;Cursos, palestras ou eventos;Divulgação de atividade parlamentar;Emissão de bilhete aéreo;Hospedagem fora do DF;Manutenção de escritório;Passagens aéreas;Passagens terrestres ou marítimas;Segurança particular;Serviços postais;Telefonia;Táxi, pedágio e estacionamento;Total CEAP;;ADMINISTRAÇÃO PÚBLICA;AGRICULTURA;ARTE E CULTURA;CIÊNCIA E TECNOLOGIA;COMUNICAÇÕES;COMÉRCIO EXTERIOR;DEFESA E SEGURANÇA NACIONAL;DESENVOLVIMENTO REGIONAL;DESENVOLVIMENTO URBANO E TRÂNSITO;DESPORTO E LAZER;DIREITO CIVIL E PROCESSUAL CIVIL;DIREITO CONSTITUCIONAL;DIREITO DO TRABALHO E PROCESSUAL DO TRABALHO;DIREITO E DEFESA DO CONSUMIDOR;DIREITO E JUSTIÇA;DIREITO PENAL E PROCESSUAL PENAL;DIREITOS HUMANOS;EDUCAÇÃO;FINANÇAS PÚBLICAS E ORÇAMENTO;HOMENAGENS E DATAS COMEMORATIVAS;INDÚSTRIA;INFORMÁTICA;MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;ORGANIZAÇÃO ADMINISTRATIVA DO ESTADO;ORGANIZAÇÃO POLÍTICA;POLÍTICA ECONÔMICA;POLÍTICA FUNDIÁRIA;PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PROCESSO LEGISLATIVO;RECURSOS HÍDRICOS;RELAÇÕES INTERNACIONAIS;SAÚDE;SEGURANÇA PÚBLICA;SISTEMA FINANCEIRO;TRABALHO E EMPREGO;TRIBUTAÇÃO;TURISMO;VIAÇÃO E TRANSPORTES;TOTAL PROPOSICAO;Numero;Idade;Bens;Atuacao em meses
Divulgação de atividade parlamentar;-5,420439743444602;3,357157174900538;-3,202121933710221;-0,849464578984914;89,68820907308441;0,5616913183277892;82,06303209646522;77,18535627846825;91,71069142217527;0,8847845215103475;100,0;93,85520462059299;-4,722945393396525;-7,7355879817479725;-2,3609754078424205;1,2326976377822272;97,05058007341879;8,368289184568747;76,91576943955812;-4,537352493580286;97,66529628546245;;-0,8919115666051981;-0,007638516504165364;-0,9371910285203172;-1,2447043717897452;1,3062300317170439;0,9932493163730439;0,5747798486206803;0,5812926906280108;1,0011050096967364;-1,4875933369766505;1,5408405789347648;2,271916527868214;0,36241952951810263;74,16668118730104;0,07676252928704327;-0,440288310690495;-0,7520626331093636;1,220479058042865;-1,2142636353843026;-0,30986589144416193;-0,9310860143373736;0,24114797695622667;-1,5271825803665187;1,4205254788611523;0,3244949932782581;-1,2239661383562697;-1,2384077025728026;0,591494869720992;-0,04376595236518288;-1,593530216971987;0,9368974793968017;-1,3614153062250385;-1,383402792987103;2,103259810706666;3,0081303441817506;0,7203506039027177;-0,3805060165040162;-1,4511861486849678;5,393715763285965;0,7140273035926287;-11,022292452274428;-1,8573753777253283;-9,440019226338288
Emissão de bilhete aéreo;0,9488130562732822;-2,543996272480664;-2,999121304687511;-0,6451598458186633;91,73764458203657;-0,38992423348093097;86,2241543831234;76,09579625344831;90,03495268085896;0,6912173366286687;93,85520462059299;100,0;0,31154867644088324;4,078748292313739;-5,379865484383724;1,4890439994933677;96,8303460726286;12,112716591269258;80,8727241453587;-0,6988187770933573;97,61929520777423;;-2,181930866750827;-0,9085714446377773;-1,6134882770595438;-1,2709848538073847;-1,6085228377550271;-0,36259649343113753;-1,0976680136064383;-3,110155770684204;-2,2425128679935775;0,8726234408842345;-2,4567926277008767;-0,9887589696964597;-0,6241483171087336;72,69971598813059;-2,5730641204879263;-2,5390306691962383;-2,540099603586736;-2,841551684991699;-1,3478052280257473;-1,9319931693009336;-2,289990209413541;-1,9330757164614938;-0,8941280364695949;-2,1910670946743678;-2,570638666456463;-0,6528519304154219;1,3617421549101532;-1,9107158603212677;-1,706552636277786;-2,0616949141653658;-0,2620533046639426;-1,5389974999505749;-2,876217893846136;-1,4904478187895605;-3,319090556885546;-1,2749484056708544;-1,1517525324442508;-0,8921622751074708;3,227013720555304;1,2352431468588616;-7,036411029960685;-0,39809519404072546;-11,442935239446655
Hospedagem fora do DF;-0,4397489705099614;2,2591634444584985;21,014296633545836;16,630500806949552;1,0098949321163941;-1,0045828569950583;3,8497135900030877;8,538030423226266;-4,77341451638054;-0,3080976823628508;-4,722945393396525;0,31154867644088324;100,0;7,000322801315607;6,573246802095658;5,598432590532995;-2,570156880902412;7,4055412106842775;6,073482910438986;14,708438597988415;-0,4524393659583621;;-2,275242623240521;2,212987751681873;-3,715141483898505;-2,610706963364838;-0,3774483322025475;-2,2965640117984676;-2,4545625378151947;-3,1618033311445424;-0,7249772172105543;-2,8092082091859063;-4,491407826707992;-5,723570933775982;-6,487161461391125;-5,012614522688324;-1,8164890334610755;-2,7301112506978105;-3,1670212688905264;-3,3738784327547484;-1,090741008148214;0,4710900498293856;-2,2341406104254506;0,3543058530360496;-4,2144781823972615;1,652048887590607;-0,8226303339697414;3,481364028761189;1,2277404673667918;-1,818157015262401;0,33364513776129145;-0,798403212070097;0,2682683359622461;-2,712305503317232;-3,4207126289104335;0,6559972914054027;-2,275001342218581;-0,8626085256019455;-0,09273972836374574;-2,7502745077332165;-4,2322183508978295;-3,4575443423170613;1,7094150909222974;-1,400186632217957;6,543899871332799
Manutenção de escritório;0,2795953736110355;-14,87299862920898;2,5209579781650837;-9,073477933752159;9,271939887083052;-1,1565691256163744;19,61158336315463;6,98383481229948;-8,369538612334017;-2,370511575978247;-7,7355879817479725;4,078748292313739;7,000322801315607;100,0;3,0701777653560374;2,2784112503418954;-3,0388393251610153;14,845190362082839;11,709451183227648;19,01202908492057;3,393845045949359;;-3,8876434250574534;-2,512844055201199;-3,6084925985004324;-4,846417954567913;-4,124139660482264;3,6849398713885853;-2,4685235401831243;-2,8862420477866797;1,978795067893277;-3,4438653882232586;-6,162516888120004;-5,191166822040778;-1,5618351368874572;-2,995242480969727;-1,6964141175780403;-5,042420874564399;-4,353816025805572;-0,9874376103305238;2,971495112894077;8,516302358153501;0,6039692921017205;0,7775283973054896;5,507827545277453;1,897042726920697;-1,8521145593034187;-0,939933210751444;1,8866717767151437;3,464734882306274;0,13514184932888657;-0,53483815954692;-1,658233096192619;-2,587424398325485;-6,56616336822421;-0,5799229854388596;-3,9016132983194325;1,8750378157651375;4,138750658593756;-2,5826344272026955;-4,2253205763581585;-4,359377618928565;6,455039898179522;-1,14178289697032;7,5289024887618545
Passagens aéreas;-3,1148364332339984;11,751161270020152;0,5232283212639324;2,067503405846717;-0,10064791310108753;0,0836334136173356;0,9249687859391391;-4,7897177904170265;-3,984063872410489;-0,7948666278927232;-2,3609754078424205;-5,379865484383724;6,573246802095658;3,0701777653560374;100,0;0,7790483081309235;-1,363241613673973;-2,351701767553393;-6,164412823089709;-0,07683642113424038;-1,1623047761113459;;-0,3045757341496638;-3,1955529968061307;1,412350114431512;-1,240665056171482;0,7491818734998167;-2,4590856538803303;5,137016385711728;-1,3898272745424256;-0,26082087157850165;-0,9929816078140178;-4,81835773423596;-4,623135457776001;0,285465081442646;-1,1104882373996654;9,718103115097774;-1,2456593114736505;-1,2945040238520629;0,5348725588898329;-3,8292383104817884;2,457586016377758;3,291760614617932;27,798982038893776;-3,158697349800532;-1,6339712680693768;1,825430139039414;-2,595088767866497;-0,7184912373571231;0,7125809801703378;-2,8569108920268262;-0,029811419416084246;-0,5987231278795593;-0,33719908762510137;0,5901581045629083;-4,263563986761498;-3,336321700370083;0,5699212987767625;-1,0280028616358978;2,165950407327803;-1,0211483823388972;5,985296063146809;-9,921253597327176;-3,307860260469898;-10,883277930242302
Passagens terrestres ou marítimas;-3,3580459451630538;-7,003336626126493;4,954947314626232;-1,7079986098113116;0,9162373692403479;-0,9725592986761915;-0,7779432821534462;6,181673321520036;-3,0893211380070027;-0,6554679314700443;1,2326976377822272;1,4890439994933677;5,598432590532995;2,2784112503418954;0,7790483081309235;100,0;-0,903004387103542;1,179667288992762;8,416981577259504;8,423646359982435;0,876713150216472;;-1,3735296663699732;2,0555717999110072;4,0835003420376;-1,629872962898303;-2,3033049071003426;-1,6663316046926442;-3,070612968927118;-3,160958155089936;-1,6528314540484539;-1,273024176996773;-1,286666644944806;-3,2765041943708204;-1,4555015924186738;-2,5265419862801486;-2,959734140256629;-2,8172618619500196;-3,147644178248522;-1,5335809205065585;-4,423154591028017;3,4649751548932817;-4,393299077088257;-0,3861660297312365;-2,788906547909951;-1,7515554335920658;-3,106132550913699;-0,2945698993491978;-0,6286583553703479;-1,9222067833173908;-2,3067594035379;-1,9201204850238285;-1,869045060470232;-0,978757320450834;-2,5599733497963237;-3,1648453614413397;-2,47819228668304;-3,463315054594217;-2,148421663083042;-2,3352236139703346;-3,339885208517897;-1,4861904055935171;1,1141388503782308;-3,2766311966476196;0,37116653584038267
Segurança particular;-2,1041847836016188;-1,0032972327618774;-3,2559669611601345;-1,358143558356014;92,73319401546306;0,5046438363551968;85,67144736764294;77,67277660513659;93,97360368004982;-0,8172727199135884;97,05058007341879;96,8303460726286;-2,570156880902412;-3,0388393251610153;-1,363241613673973;-0,903004387103542;100,0;10,227878224007275;80,21889230516078;-1,8630302467953348;98,93436227990645;;-1,358376408811778;-1,33296927729005;-0,6855365670403598;-0,441317786192167;-1,5147721120155773;-0,6043179080580962;-0,8892852173382072;-1,225219229093805;-1,8761942827065707;-0,4543192467383342;-1,5487425682983158;-0,8119112581523924;-1,1580501002355634;74,85283086648063;-1,0160419196676322;-1,393227822533729;-1,0916773947044214;-1,9427660222288798;-1,5178634323512068;-2,2073136596878964;-1,2839605167813897;-0,16318189511868011;-1,0479456110943692;-0,7607406339763433;-1,5101459450502046;-0,6222483157855613;-0,30183958759782187;-1,2626354944185332;-1,5880970294727035;-0,9472736084779727;-0,40312988812186207;-0,671145648363192;-0,7883885720376864;-1,5226430074692021;-1,9702127647220926;-1,6774628556723137;-0,2543581216283234;-0,6027379894839093;4,36282806360279;2,9109713964465436;-7,884576145726985;-1,0769441395109336;-12,269871287360656
Serviços postais;7,476010038496356;-8,316823882281255;7,164458486322592;-3,2848197914530237;11,77650592882727;-3,0401687142373124;18,474132529610863;14,297391284582023;6,907300808311283;4,082209895051734;8,368289184568747;12,112716591269258;7,4055412106842775;14,845190362082839;-2,351701767553393;1,179667288992762;10,227878224007275;100,0;17,242219198559216;5,674836382193894;12,315209171173269;;0,3456548250138395;5,9326427895483205;-2,490621692051323;-0,11320569505763262;2,695159264924203;-0,7118468944469005;2,510490112337562;-4,173794962283583;6,0366868153006035;-2,7873481046355884;-3,460175140307089;6,242258991174709;1,496263845837417;8,341372761586024;2,518497858291208;2,236397333581618;-1,6791304858266785;5,037900740363101;1,8120520386538534;8,233168230782836;1,5639217396882295;-2,1432441591431397;4,514186319384991;-1,7928754262422557;4,702664060516037;-4,051899766606047;-0,5541758994545178;4,651199862362601;0,6134146014168548;-1,2299548653193977;7,761044025431587;-0,6335824915561984;-3,888774859542289;-0,9458202923099969;3,9453319737403;6,203205675632381;7,13130864534774;-2,2249129192522172;1,5295123247311957;-3,7352993883316503;10,469316237112093;0,6393793292686686;5,0646427876267905
Telefonia;8,041383826715812;-5,661682484165358;1,5322645389770153;0,5864136700081714;76,43163130262019;-3,874121780745964;76,42300974349284;73,83031063780788;72,43328467726062;0,9296905824231282;76,91576943955812;80,8727241453587;6,073482910438986;11,709451183227648;-6,164412823089709;8,416981577259504;80,21889230516078;17,242219198559216;100,0;4,508488267351448;81,59627748686304;;-4,808756593043193;4,7371133516257595;-2,905213956145037;-4,4545121392519915;-5,959948508079825;1,9647244169503746;-1,9973060676968055;-1,1073641323752108;-4,64596110514018;-3,819598768116989;-3,8050050226003247;-0,4006446001465781;-4,10934397318928;58,80951049666707;-2,1352320294924065;-6,22419053433818;-6,440523300235915;-1,6194735777256688;4,220206323717031;3,104035716532114;-3,226479728886315;-0,028534919353129445;2,130366880855129;-0,4905143182205909;2,7287586789579343;-3,3212238332058552;3,1721632948407277;-1,7274079733658492;0,266455523191216;-2,128974854153232;-1,2818474171872727;-3,803052943188825;-6,802471346391184;-0,1544833717588412;-1,0664271460267978;-0,21427620672036404;-1,6129690386199165;-2,5100966334495123;-0,6689957793486367;-3,3897318009311292;6,4545975005519285;0,8112969534885061;3,461445849446825
Táxi, pedágio e estacionamento;-2,2551983554660517;-27,355506037907084;30,716595729802552;-12,69615668767903;-3,70472480898053;-1,589277243060933;4,641154370279513;3,1318967046738555;-3,507942338791633;-1,4500269688162672;-4,537352493580286;-0,6988187770933573;14,708438597988415;19,01202908492057;-0,07683642113424038;8,423646359982435;-1,8630302467953348;5,674836382193894;4,508488267351448;100,0;-1,3367719745493933;;-0,5744788607664425;-6,5955119369971476;-0,446321308413256;1,5533536205446423;4,5806680179514885;3,494580858575236;7,73149177754831;-7,932271045887453;1,9282563786831846;-1,497061610885898;-0,3000863686026703;-5,583000894287105;-5,0577075476905105;-5,119481902984665;4,966690422695126;2,632372305602407;-1,7665161823465398;-2,864533104061328;-8,433954224002205;-0,07580545284253885;1,3338059906858801;-1,7522478366712329;-3,5627999593316777;1,6154112324768437;-3,2370539573449424;1,0683895383784219;-1,176315449554708;2,236368590475858;5,774163931840042;0,7636600655867439;9,912790479965604;-2,221185904813217;-1,722453685235445;3,840588052916755;-8,721573745384838;8,454121531856403;21,73253914080716;-1,7662941649884085;-1,2062632166300067;-2,5288989627888703;1,2000223658802027;-4,431360734325388;-0,5586952931530538
