Nome,Nome para Urna,Numero,Partido,Coligação,Situação,Votação,% Válidos,Sexo,Estado Civil,Ocupacao,Cor/Raça,Data Nasc.,Idade,Instrucao,Bens,UF,foto
PAULO ROBERTO FREIRE DA COSTA,PAULO FREIRE,2233,PR,PR,Eleito por QP,111.300,"0,52",MASCULINO,Casado(a),Outros,Branca,14/02/1955,62,Superior completo,"987534,04",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000700.jpg
PAULO SALIM MALUF,PAULO MALUF,1111,PP,PMDB / PROS / PP / PSD,Eleito por QP,250.296,"1,18",MASCULINO,Casado(a),Engenheiro,Branca,03/09/1931,86,Superior completo,"39036449,14",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000002168.jpg
PAULO PEREIRA DA SILVA,PAULINHO DA FORÇA,7777,SD,SD,Eleito por QP,227.186,"1,07",MASCULINO,Divorciado(a),Outros,Branca,25/02/1956,61,Ensino Médio completo,"509695,50",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000839.jpg
LUIZ PAULO TEIXEIRA FERREIRA,PAULO TEIXEIRA,1398,PT,PT / PC do B,Eleito por QP,111.301,"0,52",MASCULINO,Casado(a),Advogado,Branca,06/05/1961,56,Superior completo,"106729,19",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000643.jpg
POLLYANA FATIMA GAMA SANTOS,POLLYANA GAMA,2351,PPS,PSDB / DEM / PPS,Suplente,35.854,"0,17",FEMININO,Casado(a),Vereador,Branca,13/05/1975,42,Superior completo,"356607,03",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001366.jpg
MARCO ANTONIO FELICIANO,PASTOR MARCO FELICIANO,2010,PSC,PSC,Eleito por QP,398.087,"1,87",MASCULINO,Casado(a),Deputado,Branca,12/10/1972,45,Superior completo,"1341464,92",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000388.jpg
RENATA HELLMEISTER DE ABREU,RENATA ABREU,1919,PTN,PSL / PTN / PMN / PTC / PT do B,Eleito por QP,86.647,"0,41",FEMININO,Casado(a),Empresário,Branca,15/04/1982,35,Superior completo,"685970,35",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000145.jpg
RICARDO ANTONIO BUAINAIN DIAS,RICARDO BENTINHO DIAS,1096,PRB,PRB,Suplente,21.205,"0,10",MASCULINO,Casado(a),Outros,Branca,20/11/1972,45,Superior completo,"1665000,00",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001253.jpg
RICARDO IZAR JUNIOR,RICARDO IZAR,5533,PSD,PMDB / PROS / PP / PSD,Eleito por QP,113.547,"0,53",MASCULINO,Separado(a) judicialmente,Outros,Branca,01/08/1968,49,Superior completo,"4433570,54",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000002201.jpg
JOSE RICARDO ALVARENGA TRIPOLI,RICARDO TRIPOLI,4565,PSDB,PSDB / DEM / PPS,Eleito por QP,233.806,"1,10",MASCULINO,Casado(a),Advogado,Branca,17/04/1952,65,Superior completo,"3243954,40",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001322.jpg
BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,1078,PRB,PRB,Eleito por QP,130.516,"0,61",MASCULINO,Casado(a),Vereador,Branca,27/05/1960,57,Superior incompleto,"181,19",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001260.jpg
ROBERTO ALVES DE LUCENA,ROBERTO DE LUCENA,4344,PV,PV,Eleito por QP,67.191,"0,32",MASCULINO,Casado(a),Deputado,Parda,18/04/1966,51,Superior completo,"820928,73",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000971.jpg
ROBERTO JOAO PEREIRA FREIRE,ROBERTO FREIRE,2323,PPS,PSDB / DEM / PPS,Suplente,62.823,"0,30",MASCULINO,Casado(a),Deputado,Branca,20/04/1942,75,Superior completo,"283952,58",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001367.jpg
SERGIO BAVINI,SERGIO REIS,1011,PRB,PRB,Eleito por QP,45.330,"0,21",MASCULINO,Casado(a),Cantor e Compositor,Branca,23/06/1940,77,Ensino Médio completo,"334004,23",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001272.jpg
SILVIO FRANCA TORRES,SILVIO TORRES,4540,PSDB,PSDB / DEM / PPS,Eleito por QP,175.310,"0,82",MASCULINO,Casado(a),Deputado,Branca,01/06/1946,71,Superior completo,"8404268,25",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001326.jpg
FRANCISCO EVERARDO OLIVEIRA SILVA,TIRIRICA,2222,PR,PR,Eleito por QP,1.016.796,"4,78",MASCULINO,Casado(a),Deputado,Branca,01/05/1965,52,Lê e escreve,"531913,67",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000751.jpg
VALMIR PRASCIDELLI,VALMIR PRASCIDELLI,1335,PT,PT / PC do B,Eleito por QP,84.419,"0,40",MASCULINO,Solteiro(a),Outros,Branca,09/04/1964,53,Superior completo,"390000,00",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000671.jpg
VANDERLEI MACRIS,VANDERLEI MACRIS,4551,PSDB,PSDB / DEM / PPS,Eleito por QP,148.449,"0,70",MASCULINO,Casado(a),Deputado,Branca,20/05/1950,67,Superior completo,"2534980,56",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001318.jpg
VICENTE CANDIDO DA SILVA,VICENTE CÂNDIDO,1301,PT,PT / PC do B,Eleito por QP,117.652,"0,55",MASCULINO,Casado(a),Advogado,Preta,17/11/1959,58,Superior completo,"2129943,98",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000664.jpg
VICENTE PAULO DA SILVA,VICENTINHO,1390,PT,PT / PC do B,Eleito por QP,89.001,"0,42",MASCULINO,Divorciado(a),Outros,Preta,08/04/1956,61,Superior completo,"262301,42",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000000665.jpg
VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,1085,PRB,PRB,Eleito por QP,80.643,"0,38",MASCULINO,Casado(a),Advogado,Branca,07/01/1966,51,Superior completo,"231197,87",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001276.jpg
VITOR LIPPI,VITOR LIPPI,4510,PSDB,PSDB / DEM / PPS,Eleito por QP,176.153,"0,83",MASCULINO,Casado(a),Médico,Branca,18/05/1959,58,Superior completo,"713217,64",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000001354.jpg
WALTER SHINDI IIHOSHI,WALTER IHOSHI,5599,PSD,PMDB / PROS / PP / PSD,Suplente,88.070,"0,41",MASCULINO,Solteiro(a),Administrador,Branca,17/07/1961,56,Superior completo,"774037,78",SP,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/SP/foto/250000002204.jpg
