Nome,Nome para Urna,Numero,Partido,Coligação,Situação,Votação,% Válidos,Sexo,Estado Civil,Ocupacao,Cor/Raça,Data Nasc.,Idade,Instrucao,Bens,UF,foto
FELIX DE ALMEIDA MENDONCA JUNIOR,FELIX JR,1234,PDT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,130.583,"1,96",MASCULINO,Casado(a),Outros,Branca,29/11/1963,54,Superior completo,"3398014,80",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000123.jpg
FERNANDO DANTAS TORRES,FERNANDO TORRES,5528,PSD,PP / PDT / PT / PTB / PR / PSD / PC do B,Suplente,66.215,"1,00",MASCULINO,Casado(a),Empresário,Parda,28/12/1968,49,Ensino Médio completo,"5493002,50",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000153.jpg
ANTONIO LAZARO SILVA,IRMÃO LAZARO,2020,PSC,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,161.438,"2,43",MASCULINO,Casado(a),Músico,Preta,04/11/1966,51,Ensino Médio completo,"4778545,61",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000681.jpg
JOAO CARLOS PAOLILO BACELAR FILHO,JOÃO BACELAR,2288,PR,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,111.643,"1,68",MASCULINO,Solteiro(a),Empresário,Branca,08/10/1972,45,Superior completo,"2573366,82",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000159.jpg
JOAO GUALBERTO VASCONCELOS,JOÃO GUALBERTO,4567,PSDB,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,117.671,"1,77",MASCULINO,Casado(a),Empresário,Branca,06/07/1958,59,Superior completo,"68224677,60",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000642.jpg
JORGE JOSE SANTOS PEREIRA SOLLA,JORGE SOLLA,1313,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,125.159,"1,88",MASCULINO,Casado(a),Médico,Branca,11/04/1961,56,Superior completo,"486525,84",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000141.jpg
JOSE CARLOS ALELUIA COSTA,ALELUIA,2555,DEM,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,101.924,"1,53",MASCULINO,Casado(a),Outros,Parda,09/12/1947,70,Superior completo,"5250473,16",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000630.jpg
JOSE CARLOS LEAO DE ARAUJO,JOSÉ CARLOS ARAUJO,5500,PSD,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por média,72.013,"1,08",MASCULINO,Casado(a),Deputado,Branca,21/12/1944,73,Superior incompleto,"577731,70",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000155.jpg
JOSE NUNES SOARES,JOSÉ NUNES,5577,PSD,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,105.776,"1,59",MASCULINO,Casado(a),Deputado,Branca,18/12/1950,67,Superior completo,"4275626,33",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000154.jpg
JOSE ALVES ROCHA,JOSÉ ROCHA,2222,PR,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,101.663,"1,53",MASCULINO,Casado(a),Médico,Branca,18/08/1948,69,Superior completo,"2347976,62",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000160.jpg
JUTAHY MAGALHAES JUNIOR,JUTAHY MAGALHÃES,4545,PSDB,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,108.476,"1,63",MASCULINO,Casado(a),Deputado,Branca,14/10/1955,62,Superior completo,"3828595,35",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000643.jpg
LUCIO QUADROS VIEIRA LIMA,LUCIO VIEIRA LIMA,1518,PMDB,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,222.164,"3,34",MASCULINO,Casado(a),Deputado,Branca,19/11/1962,55,Superior completo,"7720882,46",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000655.jpg
MARCIO CARLOS MARINHO,MÁRCIO MARINHO,1010,PRB,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,117.470,"1,77",MASCULINO,Casado(a),Deputado,Preta,12/12/1970,47,Superior completo,"192709,71",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000672.jpg
MARCOS ANTONIO MEDRADO,MARCOS MEDRADO,7788,SD,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Suplente,56.230,"0,85",MASCULINO,Casado(a),Deputado,Parda,30/06/1946,71,Superior completo,"1080000,00",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000679.jpg
MARIO SILVIO MENDES NEGROMONTE JUNIOR,MÁRIO NEGROMONTE JR,1111,PP,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,169.215,"2,55",MASCULINO,Casado(a),Advogado,Branca,31/08/1980,37,Superior completo,"1077668,74",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000167.jpg
MOEMA ISABEL PASSOS GRAMACHO,MOEMA GRAMACHO,1363,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,81.414,"1,22",FEMININO,Solteiro(a),Biólogo,Parda,04/07/1958,59,Superior completo,"290000,00",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000146.jpg
NELSON VICENTE PORTELA PELLEGRINO,PELEGRINO,1346,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,111.252,"1,67",MASCULINO,Casado(a),Deputado,Parda,27/12/1960,57,Superior completo,"600000,00",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000147.jpg
LUCIANO FRED BRAGA PENHA,LUCIANO BRAGA,2533,DEM,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Suplente,61.899,"0,93",MASCULINO,Casado(a),Outros,Branca,31/08/1967,50,Superior incompleto,"993938,78",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000634.jpg
PAULO VELLOSO DANTAS AZI,PAULO AZI,2526,DEM,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,110.662,"1,66",MASCULINO,Casado(a),Deputado,Branca,14/01/1963,54,Superior completo,"1456522,41",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000637.jpg
PAULO SERGIO PARANHOS DE MAGALHAES,PAULO MAGALHÃES,5529,PSD,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,77.045,"1,16",MASCULINO,Casado(a),Deputado,Branca,28/11/1952,65,Superior incompleto,"14046149,19",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000157.jpg
ROBERTO PEREIRA DE BRITTO,ROBERTO BRITTO,1123,PP,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,110.822,"1,67",MASCULINO,Divorciado(a),Médico,Branca,03/04/1951,66,Superior completo,"603256,23",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000168.jpg
ROBINSON SANTOS ALMEIDA,ROBINSON ALMEIDA,1350,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Suplente,64.265,"0,97",MASCULINO,Casado(a),Engenheiro,Branca,16/03/1965,52,Superior completo,"619563,31",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000148.jpg
RONALDO CARLETTO,RONALDO CARLETTO,1144,PP,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,148.628,"2,24",MASCULINO,Casado(a),Empresário,Parda,05/01/1960,57,Ensino Médio completo,"3817606,07",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000169.jpg
SERGIO LUIS LACERDA BRITO,SÉRGIO BRITO,5580,PSD,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,83.658,"1,26",MASCULINO,Solteiro(a),Deputado,Branca,08/06/1961,56,Superior completo,"1001307,01",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000174.jpg
ERONILDES VASCONCELOS CARVALHO,TIA ERON,1012,PRB,DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC,Eleito por QP,116.912,"1,76",FEMININO,Viúvo(a),Vereador,Preta,02/06/1972,45,Ensino Médio completo,"270601,66",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000670.jpg
ULDURICO ALENCAR PINTO,ULDURICO JUNIOR,3637,PTC,PPS / PSDC / PTC / PV / PRP / PT do B,Eleito por QP,39.904,"0,60",MASCULINO,Solteiro(a),Agricultor,Parda,30/01/1992,25,Superior incompleto,"175000,00",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000551.jpg
VALMIR CARLOS DA ASSUNCAO,VALMIR ASSUNÇÃO,1310,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,123.284,"1,85",MASCULINO,Casado(a),Deputado,Preta,17/12/1964,53,Ensino Fundamental completo,"184261,29",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000149.jpg
WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,1322,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,114.965,"1,73",MASCULINO,Casado(a),Deputado,Parda,08/03/1954,63,Superior completo,"771778,83",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000150.jpg
JOSIAS GOMES DA SILVA,JOSIAS GOMES,1312,PT,PP / PDT / PT / PTB / PR / PSD / PC do B,Eleito por QP,98.871,"1,49",MASCULINO,Casado(a),Deputado,Parda,14/10/1956,61,Superior completo,"403125,99",BA,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/BA/foto/50000000142.jpg
JOSE ALFONSO EBERT HAMM,AFONSO HAMM,1166,PP,PP / PRB / SD / PSDB,Eleito por QP,132.202,"2,22",MASCULINO,Casado(a),Deputado,Branca,25/04/1962,55,Superior completo,"1093823,34",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000637.jpg
AFONSO ANTUNES DA MOTTA,AFONSO MOTTA,1200,PDT,PDT / PSC / PV / PEN / DEM,Eleito por média,90.917,"1,53",MASCULINO,Divorciado(a),Advogado,Branca,08/01/1950,67,Superior completo,"19035011,69",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000224.jpg
ALCEU MOREIRA DA SILVA,ALCEU MOREIRA,1500,PMDB,PMDB,Eleito por QP,152.421,"2,57",MASCULINO,Casado(a),Deputado,Branca,04/06/1954,63,Superior incompleto,"1173801,51",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000162.jpg
ASSIS FLAVIO DA SILVA MELO,ASSIS MELO,6510,PC do B,PTB / PC do B / PR / PPL / PROS / PTC,Suplente,45.247,"0,76",MASCULINO,Casado(a),Deputado,Preta,14/09/1962,55,Ensino Médio completo,"199305,98",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000873.jpg
ELVINO JOSE BOHN GASS,BOHN GASS,1320,PT,PT,Eleito por QP,100.841,"1,70",MASCULINO,Casado(a),Deputado,Branca,05/02/1962,55,Superior completo,"297710,77",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000325.jpg
CAJAR ONESIMO RIBEIRO NARDES,CAJAR NARDES,2222,PR,PTB / PC do B / PR / PPL / PROS / PTC,Suplente,55.434,"0,93",MASCULINO,Solteiro(a),Veterinário,Branca,16/11/1965,52,Superior completo,"415287,37",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000887.jpg
ANTONIO CARLOS GOMES DA SILVA,CARLOS GOMES,1011,PRB,PP / PRB / SD / PSDB,Eleito por QP,92.323,"1,55",MASCULINO,Casado(a),Deputado,Branca,13/06/1972,45,Ensino Médio completo,"270000,00",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000657.jpg
LUIS ANTONIO FRANCISCATTO COVATTI,COVATTI FILHO,1111,PP,PP / PRB / SD / PSDB,Eleito por QP,115.131,"1,94",MASCULINO,Solteiro(a),Outros,Branca,25/07/1987,30,Ensino Médio completo,"472496,08",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000638.jpg
DANRLEI DE DEUS HINTERHOLZ,DANRLEI DE DEUS GOLEIRO,5501,PSD,PSB / PPS / PSD / PT do B / PHS / PSL / PSDC,Eleito por QP,158.973,"2,68",MASCULINO,Casado(a),Deputado,Branca,18/04/1973,44,Ensino Médio incompleto,"1094933,71",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000610.jpg
DARCISIO PAULO PERONDI,PERONDI,1502,PMDB,PMDB,Eleito por QP,109.864,"1,85",MASCULINO,Casado(a),Médico,Branca,02/04/1947,70,Superior completo,"807682,84",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000164.jpg
GIOVANI CHERINI,GIOVANI CHERINI,1221,PDT,PDT / PSC / PV / PEN / DEM,Eleito por QP,115.294,"1,94",MASCULINO,Divorciado(a),Deputado,Branca,23/06/1960,57,Superior completo,"3397388,28",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000237.jpg
HEITOR JOSE SCHUCH,HEITOR SCHUCH,4012,PSB,PSB / PPS / PSD / PT do B / PHS / PSL / PSDC,Eleito por QP,101.243,"1,70",MASCULINO,Casado(a),Agricultor,Branca,25/03/1962,55,Ensino Médio completo,"532575,81",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000575.jpg
HENRIQUE FONTANA JUNIOR,HENRIQUE FONTANA,1313,PT,PT,Eleito por QP,128.981,"2,17",MASCULINO,Casado(a),Deputado,Branca,18/01/1960,57,Superior completo,"856456,01",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000328.jpg
JERONIMO PIZZOLOTTO GOERGEN,JERÔNIMO GOERGEN,1133,PP,PP / PRB / SD / PSDB,Eleito por QP,115.173,"1,94",MASCULINO,Casado(a),Deputado,Branca,20/01/1976,41,Superior completo,"472420,91",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000636.jpg
JOAO DERLY DE OLIVEIRA NUNES JUNIOR,JOÃO DERLY,6565,PC do B,PTB / PC do B / PR / PPL / PROS / PTC,Eleito por QP,106.991,"1,80",MASCULINO,Casado(a),Vereador,Branca,02/06/1981,36,Superior incompleto,"463247,50",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000878.jpg
JONES ALEXANDRE MARTINS,JONES MARTINS,1566,PMDB,PMDB,Suplente,17.749,"0,30",MASCULINO,Casado(a),Advogado,Branca,20/11/1971,46,Superior completo,"551980,00",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000100.jpg
JOSE ALBERTO FOGACA DE MEDEIROS,JOSÉ FOGAÇA,1510,PMDB,PMDB,Suplente,103.006,"1,73",MASCULINO,Casado(a),Professor de Ensino Superior,Branca,13/01/1947,70,Superior completo,"712213,12",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000102.jpg
JOSE OTAVIO GERMANO,JOSÉ OTAVIO GERMANO,1112,PP,PP / PRB / SD / PSDB,Eleito por média,81.503,"1,37",MASCULINO,Casado(a),Deputado,Branca,21/04/1962,55,Superior completo,"879246,02",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000647.jpg
JOSE LUIZ STEDILE,JOSE STEDILE,4080,PSB,PSB / PPS / PSD / PT do B / PHS / PSL / PSDC,Eleito por QP,60.523,"1,02",MASCULINO,Casado(a),Deputado,Branca,11/08/1957,60,Superior completo,"339094,67",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000568.jpg
LUIS CARLOS HEINZE,LUIZ CARLOS HEINZE,1144,PP,PP / PRB / SD / PSDB,Eleito por QP,162.462,"2,73",MASCULINO,Casado(a),Deputado,Branca,14/09/1950,67,Superior completo,"7813656,75",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000639.jpg
LUIZ CARLOS GHIORZZI BUSATO,BUSATO,1414,PTB,PTB / PC do B / PR / PPL / PROS / PTC,Eleito por QP,130.807,"2,20",MASCULINO,Casado(a),Arquiteto,Branca,06/11/1948,69,Superior completo,"2102671,97",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000891.jpg
MARCIO DELLA VALLE BIOLCHI,MÁRCIO BIOLCHI,1520,PMDB,PMDB,Eleito por QP,119.190,"2,01",MASCULINO,Casado(a),"Estudante, Bolsista, Estagiário e Assemelhados",Branca,23/05/1979,38,Superior incompleto,"1661263,19",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000115.jpg
MARCO AURELIO SPALL MAIA,MARCO MAIA,1314,PT,PT,Eleito por QP,133.639,"2,25",MASCULINO,Solteiro(a),Outros,Branca,27/12/1965,52,Superior incompleto,"972267,99",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000333.jpg
DIONILSO MATEUS MARCON,MARCON,1355,PT,PT,Eleito por QP,116.178,"1,96",MASCULINO,Casado(a),Agricultor,Branca,21/09/1964,53,Ensino Fundamental incompleto,"337406,32",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000324.jpg
MARIA DO ROSARIO NUNES,MARIA DO ROSÁRIO,1370,PT,PT,Eleito por QP,127.919,"2,15",FEMININO,Divorciado(a),Professor de Ensino Médio,Branca,22/11/1966,51,Superior completo,"401061,16",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000334.jpg
MAURO PEREIRA,MAURO PEREIRA,1577,PMDB,PMDB,Suplente,40.503,"0,68",MASCULINO,Casado(a),Representante Comercial,Branca,01/09/1958,59,Ensino Médio completo,"220950,00",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000113.jpg
NELSON MARCHEZAN JUNIOR,NELSON MARCHEZAN JUNIOR,4545,PSDB,PP / PRB / SD / PSDB,Eleito por QP,119.375,"2,01",MASCULINO,Solteiro(a),Advogado,Branca,30/11/1971,46,Superior completo,"302163,05",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000670.jpg
ONYX DORNELLES LORENZONI,ONYX LORENZONI,2522,DEM,PDT / PSC / PV / PEN / DEM,Eleito por QP,148.302,"2,50",MASCULINO,Casado(a),Deputado,Branca,03/10/1954,63,Superior completo,"1295591,16",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000257.jpg
PAULO ROBERTO SEVERO PIMENTA,PAULO PIMENTA,1307,PT,PT,Eleito por QP,140.868,"2,37",MASCULINO,Casado(a),Deputado,Branca,19/03/1965,52,Superior completo,"603591,49",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000337.jpg
GILBERTO JOSE SPIER VARGAS,PEPE VARGAS,1301,PT,PT,Eleito por QP,109.469,"1,84",MASCULINO,Casado(a),Médico,Branca,29/10/1958,59,Superior completo,"298262,89",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000404.jpg
DARCI POMPEO DE MATTOS,POMPEO DE MATTOS,1212,PDT,PDT / PSC / PV / PEN / DEM,Eleito por QP,91.849,"1,55",MASCULINO,Solteiro(a),Bancário e Economiário,Branca,12/07/1958,59,Superior completo,"2202734,91",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000281.jpg
RENATO DELMAR MOLLING,RENATO MOLLING,1122,PP,PP / PRB / SD / PSDB,Eleito por QP,102.770,"1,73",MASCULINO,Casado(a),Deputado,Branca,01/10/1960,57,Superior completo,"1246307,54",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000641.jpg
SERGIO IVAN MORAES,SÉRGIO MORAES,1412,PTB,PTB / PC do B / PR / PPL / PROS / PTC,Eleito por QP,115.155,"1,94",MASCULINO,Solteiro(a),Deputado,Branca,27/04/1958,59,Ensino Fundamental completo,"214049,26",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000882.jpg
YEDA RORATO CRUSIUS,YEDA CRUSIUS,4544,PSDB,PP / PRB / SD / PSDB,Suplente,71.794,"1,21",FEMININO,Divorciado(a),Economista,Branca,26/07/1944,73,Superior completo,"449591,60",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000674.jpg
OSMAR GASPARINI TERRA,OSMAR TERRA,1522,PMDB,PMDB,Eleito por QP,120.755,"2,03",MASCULINO,Divorciado(a),Médico,Branca,18/02/1950,67,Superior completo,"421901,69",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000166.jpg
RONALDO NOGUEIRA DE OLIVEIRA,RONALDO NOGUEIRA,1423,PTB,PTB / PC do B / PR / PPL / PROS / PTC,Eleito por média,77.017,"1,30",MASCULINO,Casado(a),Administrador,Branca,25/04/1966,51,Superior completo,"86030,00",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000893.jpg
FERNANDO STEPHAN MARRONI,FERNANDO MARRONI,1345,PT,PT,Suplente,94.275,"1,59",MASCULINO,Casado(a),Engenheiro,Branca,31/07/1956,61,Superior completo,"278000,00",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000327.jpg
GIOVANI BATISTA FELTES,GIOVANI FELTES,1515,PMDB,PMDB,Eleito por QP,151.406,"2,55",MASCULINO,Solteiro(a),Empresário,Branca,10/04/1957,60,Ensino Médio completo,"2806862,28",RS,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/RS/foto/210000000165.jpg
AGUINALDO VELLOSO BORGES RIBEIRO,AGUINALDO RIBEIRO,1111,PP,PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP,Eleito por QP,161.999,"8,36",MASCULINO,Casado(a),Deputado,Branca,13/02/1969,48,Superior completo,"5890360,73",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000473.jpg
ANDRE AUGUSTO CASTRO DO AMARAL FILHO,ANDRÉ AMARAL,1555,PMDB,PMDB,Suplente,6.552,"0,34",MASCULINO,Solteiro(a),"Estudante, Bolsista, Estagiário e Assemelhados",Branca,26/07/1990,27,Superior incompleto,"0,00",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000171.jpg
BENJAMIN GOMES MARANHAO NETO,BENJAMIN MARANHÃO,7777,SD,PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP,Eleito por média,63.433,"3,28",MASCULINO,Casado(a),Deputado,Branca,30/11/1971,46,Superior completo,"1419508,69",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000476.jpg
DAMIAO FELICIANO DA SILVA,DR. DAMIÃO,1212,PDT,PSB / DEM / PRTB / PDT / PRP / PV / PT / PSL / PC do B / PHS / PPL,Eleito por média,67.558,"3,49",MASCULINO,Casado(a),Deputado,Preta,28/04/1952,65,Superior completo,"1235988,27",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000194.jpg
EFRAIM DE ARAUJO MORAIS FILHO,EFRAIM FILHO,2511,DEM,PSB / DEM / PRTB / PDT / PRP / PV / PT / PSL / PC do B / PHS / PPL,Eleito por QP,103.477,"5,34",MASCULINO,Casado(a),Advogado,Branca,18/03/1979,38,Superior completo,"893609,42",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000207.jpg
HUGO MOTTA WANDERLEY DA NOBREGA,HUGO,1522,PMDB,PMDB,Eleito por QP,123.686,"6,39",MASCULINO,Solteiro(a),Deputado,Branca,11/09/1989,28,Superior completo,"498458,05",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000173.jpg
LUIZ ALBUQUERQUE COUTO,LUIZ COUTO,1345,PT,PSB / DEM / PRTB / PDT / PRP / PV / PT / PSL / PC do B / PHS / PPL,Eleito por QP,69.922,"3,61",MASCULINO,Solteiro(a),Deputado,Branca,13/02/1945,72,Superior completo,"71310,09",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000199.jpg
PEDRO OLIVEIRA CUNHA LIMA,PEDRO CUNHA LIMA,4510,PSDB,PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP,Eleito por QP,179.886,"9,29",MASCULINO,Solteiro(a),Advogado,Branca,15/08/1988,29,Superior completo,"125673,96",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000507.jpg
ROMULO JOSE DE GOUVEIA,RÔMULO GOUVEIA,5555,PSD,PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP,Eleito por QP,84.820,"4,38",MASCULINO,Casado(a),Servidor Público Estadual,Branca,19/03/1965,52,Superior completo,"815582,76",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000497.jpg
VENEZIANO VITAL DO REGO SEGUNDO NETO,VENEZIANO,1510,PMDB,PMDB,Eleito por QP,177.680,"9,17",MASCULINO,Casado(a),Advogado,Branca,17/07/1970,47,Superior completo,"287955,90",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000178.jpg
JOSE WELLINGTON ROBERTO,WELLINGTON ROBERTO,2222,PR,PSDB / PEN / PR / PTB / PSD / SD / PMN / PPS / PT do B / PTN / PRB / PSDC / PSC / PP,Eleito por QP,104.799,"5,41",MASCULINO,Casado(a),Empresário,Parda,19/05/1959,58,Superior incompleto,"2450196,15",PB,http://inter01.tse.jus.br/divulga-cand-2014/eleicao/2014/UF/PB/foto/150000000492.jpg
