idecadastro,Legislatura,Nome,Nome Parlamentar,Profissao,Situacao na Legislatura Atual,Sexo,UF,Partido
198963,55,ROGÉRIO SILVA SANTOS,ROGÉRIO SILVA,-,Suplência,M,MT,MDB
141536,55,RÔMULO JOSÉ DE GOUVEIA,RÔMULO GOUVEIA,Servidor Público,Vacância,M,PB,PSD
160515,55,RONALDO JOSÉ BENEDET,RONALDO BENEDET,Advogado,Em Exercício,M,SC,MDB
178861,55,RONALDO CARLETTO,RONALDO CARLETTO,Empresário,Em Exercício,M,BA,PP
160637,55,RONALDO FONSECA DE SOUZA,RONALDO FONSECA,Advogado,Licenciado,M,DF,PODE
178845,55,RONALDO AUGUSTO LESSA SANTOS,RONALDO LESSA,Engenheiro,Em Exercício,M,AL,PDT
122466,55,RONALDO MANCHADO MARTINS,RONALDO MARTINS,"Comunicador, Músico",Em Exercício,M,CE,PRB
178870,55,RÔNEY TANIOS NEMER,RÔNEY NEMER,Servidor Público,Em Exercício,M,DF,PP
178945,55,ROSANGELA DE SOUZA GOMES,ROSANGELA GOMES,"Advogado, Auxiliar administrativo, Auxiliar de Enfermagem, Político",Em Exercício,F,RJ,PRB
146949,55,ROSEANE CAVALCANTE DE FREITAS ESTRELA,ROSINHA DA ADEFAL,Servidor Público,Suplência,F,AL,AVANTE
73466,55,RUBENS BUENO,RUBENS BUENO,Professor,Em Exercício,M,PR,PPS
74371,55,RUBENS OTONI GOMIDE,RUBENS OTONI,"Consultor, Professor",Em Exercício,M,GO,PT
178887,55,RUBENS PEREIRA E SILVA JUNIOR,RUBENS PEREIRA JÚNIOR,Advogado,Em Exercício,M,MA,PCdoB
141522,55,RAIMUNDO SABINO CASTELO BRANCO MAUÉS,SABINO CASTELO BRANCO,"Comunicador, Empresário",Licenciado,M,AM,PTB
160630,55,SÁGUAS MORAES SOUSA,SÁGUAS MORAES,Médico,Em Exercício,M,MT,PT
160621,55,SANDRO ALEX CRUZ DE OLIVEIRA,SANDRO ALEX,Advogado,Em Exercício,M,PR,PSD
74762,55,JOSÉ SARAIVA FELIPE,SARAIVA FELIPE,"Médico, Professor",Em Exercício,M,MG,MDB
73808,55,SÉRGIO LUÍS LACERDA BRITO,SÉRGIO BRITO,"Administrador, Empresário, Servidor Público",Em Exercício,M,BA,PSD
141542,55,SÉRGIO IVAN MORAES,SÉRGIO MORAES,-,Em Exercício,M,RS,PTB
178991,55,SERGIO BAVINI,SÉRGIO REIS,Músico,Em Exercício,M,SP,PRB
178933,55,SERGIO DE SOUZA,SERGIO SOUZA,Advogado,Em Exercício,M,PR,MDB
178874,55,ANTONIO SERGIO ALVES VIDIGAL,SERGIO VIDIGAL,-,Em Exercício,M,ES,PDT
160612,55,SERGIO ZVEITER,SERGIO ZVEITER,Advogado,Em Exercício,M,RJ,DEM
167614,55,SEVERINO DE SOUZA SILVA,SEVERINO NINHO,Advogado,Suplência,M,PE,PSB
178961,55,SHÉRIDAN ESTÉRFANY OLIVEIRA DE ANCHIETA,SHÉRIDAN,Psicólogo,Em Exercício,F,RR,PSDB
74356,55,SILAS CÂMARA,SILAS CÂMARA,Empresário,Em Exercício,M,AM,PRB
187008,55,SILAS FREIRE PEREIRA E SILVA,SILAS FREIRE,-,Suplência,M,PI,PODE
4930,55,SÍLVIO SERAFIM COSTA,SILVIO COSTA,-,Em Exercício,M,PE,AVANTE
73560,55,SILVIO FRANÇA TORRES,SILVIO TORRES,"Empresário, Jornalista",Em Exercício,M,SP,PSDB
73424,55,SIMÃO SESSIM,SIMÃO SESSIM,"Advogado, Professor",Em Exercício,M,RJ,PP
178911,55,SIMONE MARIA MORGADO FERREIRA,SIMONE MORGADO,"Auditor, Economista",Em Exercício,F,PA,MDB
178946,55,SORAYA ALENCAR DOS SANTOS,SORAYA SANTOS,Advogado,Em Exercício,F,RJ,PR
178947,55,SOSTENES SILVA CAVALCANTE,SÓSTENES CAVALCANTE,Teólogo,Em Exercício,M,RJ,DEM
92776,55,STEFANO AGUIAR DOS SANTOS,STEFANO AGUIAR,Administrador,Em Exercício,M,MG,PSD
177282,55,LUIZ GONZAGA RIBEIRO,SUBTENENTE GONZAGA,Militar,Em Exercício,M,MG,PDT
178922,55,FRANCISCO TADEU BARBOSA DE ALENCAR,TADEU ALENCAR,Procurador,Em Exercício,M,PE,PSB
74385,55,HIDEKAZU TAKAYAMA,TAKAYAMA,"Empresário, Pastor, Professor",Em Exercício,M,PR,PSC
178898,55,SERGIO LUCIO DE ALMEIDA,TENENTE LÚCIO,-,Em Exercício,M,MG,PR
178901,55,TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA,Engenheiro,Em Exercício,F,MS,DEM
160617,55,THIAGO MELLO PEIXOTO DA SILVEIRA,THIAGO PEIXOTO,Economista,Em Exercício,M,GO,PSD
178862,55,ERONILDES VASCONCELOS CARVALHO,TIA ERON,Profissional técnico,Em Exercício,F,BA,PRB
160976,55,FRANCISCO EVERARDO OLIVEIRA SILVA,TIRIRICA,Ator,Em Exercício,M,SP,PR
160611,55,ANTÔNIO PINHEIRO JÚNIOR,TONINHO PINHEIRO,Comerciário,Em Exercício,M,MG,PP
178934,55,ANTONIO WANDSCHEER,TONINHO WANDSCHEER,Engenheiro,Em Exercício,M,PR,PROS
178863,55,ULDURICO ALENCAR PINTO,ULDURICO JUNIOR,Estudante,Em Exercício,M,BA,PPL
195866,55,FRANCISCO VAIDON OLIVEIRA,VAIDON OLIVEIRA,-,Em Exercício,M,CE,PROS
141384,55,ANTÔNIO CARLOS VALADARES FILHO,VALADARES FILHO,Administrador,Em Exercício,M,SE,PSB
74010,55,VALDIR COLATTO,VALDIR COLATTO,Engenheiro,Em Exercício,M,SC,MDB
160610,55,VALMIR CARLOS DA ASSUNÇÃO,VALMIR ASSUNÇÃO,Agricultor,Em Exercício,M,BA,PT
113247,55,VALMIR PRASCIDELLI,VALMIR PRASCIDELLI,-,Em Exercício,M,SP,PT
141552,55,VALTENIR LUIZ PEREIRA,VALTENIR PEREIRA,"Advogado, Auxiliar de Escritório, Defensor Público, Engraxate, Professor, Vendedor, Vendedor",Em Exercício,M,MT,MDB
74376,55,VANDER LUIZ DOS SANTOS LOUBET,VANDER LOUBET,"Bancário, Servidor Público",Em Exercício,M,MS,PT
141553,55,VANDERLEI MACRIS,VANDERLEI MACRIS,"Advogado, Empresário",Em Exercício,M,SP,PSDB
178913,55,VENEZIANO VITAL DO RÊGO SEGUNDO NETO,VENEZIANO VITAL DO RÊGO,Advogado,Em Exercício,M,PB,PSB
74308,55,VICENTE FERREIRA DE ARRUDA COELHO,VICENTE ARRUDA,"Advogado, Cientista Político, Jornalista",Em Exercício,M,CE,PR
160622,55,VICENTE CÂNDIDO DA SILVA,VICENTE CANDIDO,"Advogado, Comerciário",Em Exercício,M,SP,PT
74283,55,VICENTE PAULO DA SILVA,VICENTINHO,"Advogado, Metalúrgico",Em Exercício,M,SP,PT
137070,55,VICENTE ALVES DE OLIVEIRA JUNIOR,VICENTINHO JÚNIOR,Empresário,Em Exercício,M,TO,PR
178888,55,CARLOS VICTOR GUTERRES MENDES,VICTOR MENDES,Advogado,Em Exercício,M,MA,MDB
141555,55,VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,"Administrador, Advogado, Comunicador, Jornalista",Em Exercício,M,SP,PRB
160591,55,VINICIUS DE AZEVEDO GURGEL,VINICIUS GURGEL,Contador,Em Exercício,M,AP,PR
178992,55,VITOR LIPPI,VITOR LIPPI,Médico,Em Exercício,M,SP,PSDB
178869,55,VITOR PEREIRA VALIM,VITOR VALIM,-,Em Exercício,M,CE,PROS
189593,55,WADIH NEMER DAMOUS FILHO,WADIH DAMOUS,-,Em Exercício,M,RJ,PT
160569,55,WALDENOR ALVES PEREIRA FILHO,WALDENOR PEREIRA,Economista,Em Exercício,M,BA,PT
141558,55,WALDIR MARANHÃO CARDOSO,WALDIR MARANHÃO,Médico Veterinário,Em Exercício,M,MA,PSDB
160631,55,WALNEY DA ROCHA CARVALHO,WALNEY ROCHA,Servidor Público,Em Exercício,M,RJ,PATRI
178952,55,WALTER PEREIRA ALVES,WALTER ALVES,Administrador,Em Exercício,M,RN,MDB
141560,55,WALTER SHINDI IIHOSHI,WALTER IHOSHI,Administrador,Em Exercício,M,SP,PSD
160518,55,WELITON FERNANDES PRADO,WELITON PRADO,Jornalista,Em Exercício,M,MG,PROS
74043,55,JOSÉ WELLINGTON ROBERTO,WELLINGTON ROBERTO,Empresário,Em Exercício,M,PB,PR
167493,55,WEVERTON ROCHA MARQUES DE SOUSA,WEVERTON ROCHA,Administrador,Em Exercício,M,MA,PDT
193066,55,WILSON SILVA BESERRA,WILSON BESERRA,-,Suplência,M,RJ,MDB
160636,55,JOSÉ WILSON SANTIAGO FILHO,WILSON FILHO,-,Em Exercício,M,PB,PTB
73930,55,WLADIMIR AFONSO DA COSTA RABELO,WLADIMIR COSTA,"Comunicador, Empresário, Músico",Em Exercício,M,PA,SD
74439,55,WOLNEY QUEIROZ MACIEL,WOLNEY QUEIROZ,"Administrador, Empresário",Em Exercício,M,PE,PDT
73992,55,YEDA RORATO CRUSIUS,YEDA CRUSIUS,"Economista, Professor",Em Exercício,F,RS,PSDB
191945,55,JOSÉ AUGUSTO NALIN,ZÉ AUGUSTO NALIN,-,Suplência,M,RJ,DEM
178889,55,JOSÉ CARLOS NUNES JÚNIOR,ZÉ CARLOS,Engenheiro,Em Exercício,M,MA,PT
73931,55,JOSÉ GERALDO TORRES DA SILVA,ZÉ GERALDO,Agricultor,Em Exercício,M,PA,PT
160632,55,JOSÉ SILVA SOARES,ZÉ SILVA,"Agricultor, Agrônomo, Extensionista",Em Exercício,M,MG,SD
178923,55,JOSE CAVALCANTI ALVES JUNIOR,ZECA CAVALCANTI,-,Em Exercício,M,PE,PTB
160592,55,JOSÉ CARLOS BECKER DE OLIVEIRA E SILVA,ZECA DIRCEU,Empresário,Em Exercício,M,PR,PT
178902,55,JOSE ORCIRIO MIRANDA DOS SANTOS,ZECA DO PT,Bancário,Em Exercício,M,MS,PT
178949,55,ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,ZENAIDE MAIA,Médico,Em Exercício,F,RN,PHS
160551,55,ANDERSON FERREIRA RODRIGUES,ANDERSON FERREIRA,Empresário,Vacância,M,PE,PR
141391,55,ARNALDO CALIL PEREIRA JARDIM,ARNALDO JARDIM,"Engenheiro, Professor",Em Exercício,M,SP,PPS
74291,55,JOSÉ ARNON CRUZ BEZERRA DE MENEZES,ARNON BEZERRA,Médico,Vacância,M,CE,PTB
193165,55,ATILA ALEXANDRE NUNES PEREIRA,ÁTILA A. NUNES,-,Suplência,M,RJ,MDB
74052,55,JOÃO BOSCO DA COSTA,BOSCO COSTA,Administrador,Suplência,M,SE,PROS
141394,55,BRUNO CAVALCANTI DE ARAÚJO,BRUNO ARAÚJO,Advogado,Em Exercício,M,PE,PSDB
178924,55,FABIO ABREU COSTA,CAPITÃO FÁBIO ABREU,Policial,Em Exercício,M,PI,PR
178939,55,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,CLARISSA GAROTINHO,-,Em Exercício,F,RJ,PROS
141412,55,DAVI ALVES SILVA JÚNIOR,DAVI ALVES SILVA JÚNIOR,-,Suplência,M,MA,PR
178940,55,JOAO FERREIRA NETO,DR. JOÃO,Médico,Vacância,M,RJ,PR
141385,55,ANTONIO DUARTE NOGUEIRA JÚNIOR,DUARTE NOGUEIRA,Engenheiro,Vacância,M,SP,PSDB
73447,55,EDSON EDINHO COELHO ARAÚJO,EDINHO ARAÚJO,"Advogado, Professor",Vacância,M,SP,MDB
74173,55,EDUARDO COSENTINO DA CUNHA,EDUARDO CUNHA,Economista,Vacância,M,RJ,MDB
146829,55,FABIANO TAQUES HORTA,FABIANO HORTA,-,Vacância,M,RJ,PT
191923,55,FLÁVIO RODRIGUES NOGUEIRA,FLAVIO NOGUEIRA,-,Suplência,M,PI,PDT
178979,55,ANTONIO FLORIANO PEREIRA PESARO,FLORIANO PESARO,Sociólogo,Em Exercício,M,SP,PSDB
194592,55,ILDON MARQUES DE SOUZA,ILDON MARQUES,-,Suplência,M,MA,PSB
74445,55,JOÃO CASTELO RIBEIRO GONÇALVES,JOÃO CASTELO,"Advogado, Empresário",Vacância,M,MA,PSDB
74141,55,JOSIAS GOMES DA SILVA,JOSIAS GOMES,Agrônomo,Em Exercício,M,BA,PT
74254,55,LEONARDO CARNEIRO MONTEIRO PICCIANI,LEONARDO PICCIANI,Agropecuarista,Em Exercício,M,RJ,MDB
141490,55,MANOEL ALVES DA SILVA JUNIOR,MANOEL JUNIOR,Médico,Vacância,M,PB,MDB
178932,55,MARCELO BELINATI MARTINS,MARCELO BELINATI,"Advogado, Médico",Vacância,M,PR,PP
74470,55,MARCONDES IRAN BENEVIDES GADELHA,MARCONDES GADELHA,Médico,Em Exercício,M,PB,PSC
178850,55,MARCOS SERGIO ROTTA,MARCOS ROTTA,"Jornalista, Publicitário",Vacância,M,AM,MDB
181315,55,MARCOS DA ROCHA MENDES,MARQUINHO MENDES,-,Vacância,M,RJ,MDB
178843,55,MARX BELTRÃO LIMA SIQUEIRA,MARX BELTRÃO,-,Em Exercício,M,AL,PSD
74050,55,MAURÍCIO QUINTELLA MALTA LESSA,MAURÍCIO QUINTELLA LESSA,Servidor Público,Licenciado,M,AL,PR
73588,55,CARLOS MAURO CABRAL BENEVIDES,MAURO BENEVIDES,"Advogado, Jornalista, Professor",Suplência,M,CE,MDB
178827,55,MAX FREITAS MAURO FILHO,MAX FILHO,Servidor Público,Vacância,M,ES,PSDB
188097,55,MERLONG SOLANO NOGUEIRA,MERLONG SOLANO,Professor,Suplência,M,PI,PT
141509,55,MIGUEL CORRÊA DA SILVA JÚNIOR,MIGUEL CORRÊA,"Comunicador, Professor",Em Exercício,M,MG,PT
74457,55,MORONI BING TORGAN,MORONI TORGAN,Delegado,Vacância,M,CE,DEM
74751,55,NILMÁRIO DE MIRANDA,NILMÁRIO MIRANDA,Jornalista,Suplência,M,MG,PT
74159,55,ODAIR JOSÉ DA CUNHA,ODAIR CUNHA,Advogado,Em Exercício,M,MG,PT
74752,55,ODELMO LEÃO CARNEIRO SOBRINHO,ODELMO LEÃO,"Agropecuarista, Bancário",Vacância,M,MG,PP
73692,55,OSMAR GASPARINI TERRA,OSMAR TERRA,Médico,Em Exercício,M,RS,MDB
170673,55,SERGIO PAULO DE OLIVEIRA,PROFESSOR SÉRGIO DE OLIVEIRA,-,Suplência,M,PR,PSD
74048,55,RAUL BELENS JUNGMANN PINTO,RAUL JUNGMANN,Consultor,Suplência,M,PE,PPS
178925,55,REJANE RIBEIRO SOUSA DIAS,REJANE DIAS,Administrador,Em Exercício,F,PI,PT
73788,55,RICARDO JOSÉ MAGALHÃES BARROS,RICARDO BARROS,"Empresário, Engenheiro",Em Exercício,M,PR,PP
160652,55,ROBERTO SÉRGIO RIBEIRO COUTINHO TEIXEIRA,ROBERTO TEIXEIRA,Dentista,Suplência,M,PE,PP
88950,55,RODRIGO GARCIA,RODRIGO GARCIA,"Advogado, Empresário",Em Exercício,M,SP,DEM
163321,55,RONALDO NOGUEIRA DE OLIVEIRA,RONALDO NOGUEIRA,Administrador,Em Exercício,M,RS,PTB
191684,55,ROSANGELA APARECIDA DA SILVA BARROS,ROSÂNGELA CURADO,-,Suplência,F,MA,PDT
178935,55,VALDIR LUIZ ROSSONI,ROSSONI,Empresário,Em Exercício,M,PR,PSDB
178990,55,SAMUEL MOREIRA DA SILVA JUNIOR,SAMUEL MOREIRA,Engenheiro,Em Exercício,M,SP,PSDB
74372,55,JOÃO SANDES JÚNIOR,SANDES JÚNIOR,"Advogado, Comunicador",Em Exercício,M,GO,PP
74210,55,JOSÉ SARNEY FILHO,SARNEY FILHO,Advogado,Em Exercício,M,MA,PV
178921,55,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,SEBASTIÃO OLIVEIRA,-,Em Exercício,M,PE,PR
160613,55,SEBASTIÃO SIBÁ MACHADO OLIVEIRA,SIBÁ MACHADO,Geógrafo,Em Exercício,M,AC,PT
74765,55,SILAS BRASILEIRO,SILAS BRASILEIRO,"Administrador, Agricultor, Empresário",Suplência,M,MG,MDB
73831,55,José Augusto da Silva Curvo,TAMPINHA,Médico,Suplência,M,MT,PSD
194340,55,AUDIVAL AMÉLIO DA SILVA NETO,VAL AMÉLIO,-,Suplência,M,AL,PRTB
137853,55,WADSON NATHANIEL RIBEIRO,WADSON RIBEIRO,-,Suplência,M,MG,PCdoB
160620,55,WASHINGTON REIS DE OLIVEIRA,WASHINGTON REIS,-,Vacância,M,RJ,MDB
141563,55,WILLIAM BOSS WOO,WILLIAM WOO,"Engenheiro, Policial",Suplência,M,SP,PP
74213,55,ANTONIO BALHMANN CARDOSO NUNES FILHO,ANTONIO BALHMANN,Engenheiro,Em Exercício,M,CE,PDT
190149,55,FABRICIO JOSÉ SATIRO DE OLIVEIRA,FABRICIO OLIVEIRA,-,Suplência,M,SC,PSB
73481,55,FERNANDO STEPHAN MARRONI,FERNANDO MARRONI,Servidor Público,Suplência,M,RS,PT
178996,55,GIOVANI BATISTA FELTES,GIOVANI FELTES,-,Em Exercício,M,RS,MDB
178899,55,MARCIO CAMPOS MONTEIRO,MARCIO MONTEIRO,Agropecuarista,Vacância,M,MS,S.PART.
80920,55,JOSÉ LUIZ DE FRANÇA PENNA,PENNA,"Ator, Músico, Músico, Músico",Suplência,M,SP,PV
