idecadastro,Legislatura,Nome,Nome Parlamentar,Profissao,Situacao na Legislatura Atual,Sexo,UF,Partido
74585,55,LINCOLN DINIZ PORTELA,LINCOLN PORTELA,"Comunicador, Comunicador, Conferencista",Em Exercício,M,MG,PR
141483,55,LINDOMAR BARBOSA ALVES,LINDOMAR GARÇON,Comerciário,Em Exercício,M,RO,PRB
74277,55,ANTONIO ADOLPHO LOBBE NETO,LOBBE NETO,Biomédico,Em Exercício,M,SP,PSDB
196358,55,LOURIVAL GOMES DE ALMEIDA,LOURIVAL GOMES,-,Suplência,M,RJ,PODE
81366,55,LUANA MARIA DA SILVA COSTA,LUANA COSTA,Dentista,Em Exercício,F,MA,PSC
178879,55,LUCAS DE CASTRO SANTOS,LUCAS VERGILIO,"Administrador, Corretor",Em Exercício,M,GO,SD
160628,55,LUCIANA BARBOSA DE OLIVEIRA SANTOS,LUCIANA SANTOS,Engenheiro,Em Exercício,F,PE,PCdoB
178931,55,LUCIANO DUCCI,LUCIANO DUCCI,Médico,Em Exercício,M,PR,PSB
178954,55,LUCIO ANTONIO MOSQUINI,LUCIO MOSQUINI,Engenheiro,Em Exercício,M,RO,MDB
141484,55,LÚCIO DUTRA VALE,LÚCIO VALE,Administrador,Em Exercício,M,PA,PR
94931,55,LÚCIO QUADROS VIEIRA LIMA,LUCIO VIEIRA LIMA,"Agricultor, Engenheiro, Pecuarista",Em Exercício,M,BA,MDB
73483,55,LUIS CARLOS HEINZE,LUIS CARLOS HEINZE,"Agricultor, Engenheiro",Em Exercício,M,RS,PP
160510,55,LUIS HENRIQUE DE OLIVEIRA RESENDE,LUIS TIBÉ,Empresário,Em Exercício,M,MG,AVANTE
141485,55,LUIZ CARLOS GHIORZZI BUSATO,LUIZ CARLOS BUSATO,"Arquiteto, Corretor",Vacância,M,RS,PTB
73778,55,LUIZ CARLOS JORGE HAULY,LUIZ CARLOS HAULY,"Economista, Professor",Em Exercício,M,PR,PSDB
178802,55,LUIZ CARLOS RAMOS,LUIZ CARLOS RAMOS ,-,Em Exercício,M,RJ,PR
178955,55,LUIZ CLAUDIO PEREIRA ALVES,LUIZ CLÁUDIO,"Professor, Profissional técnico",Em Exercício,M,RO,PR
74041,55,LUIZ ALBUQUERQUE COUTO,LUIZ COUTO,"Padre, Professor",Em Exercício,M,PB,PT
141487,55,LUIZ FERNANDO RAMOS FARIA,LUIZ FERNANDO FARIA,"Administrador, Agropecuarista, Empresário, Engenheiro",Em Exercício,M,MG,PP
178982,55,LUIZ LAURO FERREIRA FILHO,LUIZ LAURO FILHO,Publicitário,Em Exercício,M,SP,PSB
162332,55,LUIZ HILOSHI NISHIMORI,LUIZ NISHIMORI,"Agricultor, Comerciário",Em Exercício,M,PR,PR
74688,55,LUIZ SÉRGIO NÓBREGA DE OLIVEIRA,LUIZ SÉRGIO,Delineador Naval,Em Exercício,M,RJ,PT
74784,55,LUIZA ERUNDINA DE SOUSA,LUIZA ERUNDINA,Assistente Social,Em Exercício,F,SP,PSOL
178866,55,LUIZIANNE DE OLIVEIRA LINS,LUIZIANNE LINS,"Jornalista, Professor",Em Exercício,F,CE,PT
198198,55,LUZIA MARIA FERREIRA,LUZIA FERREIRA,-,Suplência,F,MG,PPS
178867,55,JOSE MARIA MACEDO JUNIOR,MACEDO,Empresário,Em Exercício,M,CE,PP
166402,55,MAGDA MOFATTO HON,MAGDA MOFATTO,Empresário,Em Exercício,F,GO,PR
151965,55,JOSÉ DE ANDRADE MAIA FILHO,MAIA FILHO,Empresário,Suplência,M,PI,PP
178826,55,SERGIO OLIMPIO GOMES,MAJOR OLIMPIO,-,Em Exercício,M,SP,PSL
160633,55,LUIZ HENRIQUE MANDETTA,MANDETTA,Médico,Em Exercício,M,MS,DEM
160565,55,MARA CRISTINA GABRILLI,MARA GABRILLI,"Psicólogo, Publicitário",Em Exercício,F,SP,PSDB
160660,55,MARCELO THEODORO DE AGUIAR,MARCELO AGUIAR,Músico,Suplência,M,SP,DEM
179000,55,MARCELO HENRIQUE TEIXEIRA DIAS,MARCELO ÁLVARO ANTÔNIO,Empresário,Em Exercício,M,MG,PSL
146788,55,MARCELO GUILHERME DE ARO FERREIRA,MARCELO ARO,Jornalista,Em Exercício,M,MG,PHS
74460,55,MARCELO COSTA E CASTRO,MARCELO CASTRO,Médico,Em Exercício,M,PI,MDB
195826,55,MARCELO JANDRE DELAROLI,MARCELO DELAROLI,-,Em Exercício,M,RJ,PR
76287,55,MARCELO VIVIANI GONÇALVES,MARCELO MATOS,Empresário,Em Exercício,M,RJ,PSD
118594,55,MARCELO SQUASSONI,MARCELO SQUASSONI,Advogado,Em Exercício,M,SP,PRB
178983,55,MARCIO LUIZ ALVINO DE SOUZA,MARCIO ALVINO,Administrador,Em Exercício,M,SP,PR
179001,55,MARCIO DELLA VALLE BIOLCHI,MÁRCIO BIOLCHI,-,Em Exercício,M,RS,MDB
150418,55,MÁRCIO CARLOS MARINHO,MÁRCIO MARINHO,Comunicador,Em Exercício,M,BA,PRB
178942,55,MARCO ANTONIO NEVES CABRAL,MARCO ANTÔNIO CABRAL,Advogado,Em Exercício,M,RJ,MDB
133373,55,MARCO AURÉLIO SPALL MAIA,MARCO MAIA,"Industriário, Metalúrgico, Torneiro Mecânico",Em Exercício,M,RS,PT
160536,55,MARCO ANTONIO TEBALDI,MARCO TEBALDI,"Engenheiro, Servidor Público",Em Exercício,M,SC,PSDB
160535,55,DIONILSO MATEUS MARCON,MARCON,Agricultor,Em Exercício,M,RS,PT
178880,55,MARCOS ABRAO RORIZ SOARES DE CARVALHO,MARCOS ABRÃO,"Economista, Empresário",Em Exercício,M,GO,PPS
74634,55,MARCOS ANTONIO MEDRADO,MARCOS MEDRADO,"Administrador, Comunicador",Suplência,M,BA,PODE
141500,55,MARCOS MONTES CORDEIRO,MARCOS MONTES,"Médico, Médico, Professor",Em Exercício,M,MG,PSD
178852,55,MARCOS JOSE REATEGUI SOUZA,MARCOS REATEGUI,-,Em Exercício,M,AP,PSD
167722,55,MARCOS ROGÉRIO DA SILVA BRITO,MARCOS ROGÉRIO,"Advogado, Jornalista",Em Exercício,M,RO,DEM
178943,55,MARCOS BEZERRA RIBEIRO SOARES,MARCOS SOARES,Advogado,Em Exercício,M,RJ,DEM
159238,55,MARCUS VINÍCIUS CAETANO PESTANA DA SILVA,MARCUS PESTANA,"Economista, Professor",Em Exercício,M,MG,PSDB
74235,55,MARCUS ANTÔNIO VICENTE,MARCUS VICENTE,"Advogado, Consultor, Engraxate, Gestor Público, Jornaleiro, Profissional Gráfico, Representante Comercial, Secretário, Vendedor",Em Exercício,M,ES,PP
171619,55,MARIA MARGARIDA MARTINS SALOMÃO,MARGARIDA SALOMÃO,-,Em Exercício,F,MG,PT
74398,55,MARIA DO ROSÁRIO NUNES,MARIA DO ROSÁRIO,Professor,Em Exercício,F,RS,PT
64960,55,MARIA HELENA VERONESE RODRIGUES,MARIA HELENA,"Advogado, Professor",Em Exercício,F,RR,MDB
178956,55,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,MARIANA CARVALHO,"Advogado, Médico",Em Exercício,F,RO,PSDB
